,ABHPRK__38,CTDC_hydrophobicity_ARGP820101.G1,GTPC_uncharger.uncharger.postivecharger,CKSAAGP_negativecharger.uncharger.gap4,CTDC_solventaccess.G3,CKSAAP_TK.gap1,CKSAAGP_negativecharger.uncharger.gap1,formula_C,Cougar__27,CKSAAGP_aromatic.postivecharger.gap2,ABHPRK__18,ABHPRK__57,formula_H,ABHPRK__37,Cougar__28,CKSAAGP_alphaticr.alphaticr.gap5,Cougar__5,NMBroto_CIDH920105.lag2,CKSAAP_SR.gap3,AAC_G,MSW__7,DDE_AP,GTPC_uncharger.postivecharger.alphaticr,QSO3_SC_P,Ez__24,GAAC_uncharge,DDE_WT,APAAC_Pc2.Hydrophilicity.2,CTDC_charge.G3,DDR_I,Z5__56,ABHPRK__20,APAAC_Pc2.Hydrophilicity.1,CTDD_hydrophobicity_ARGP820101.1.residue100,CTDD_hydrophobicity_ZIMJ680101.1.residue0,DDE_PP,CTDD_solventaccess.3.residue75,ABHPRK__79,CKSAAGP_alphaticr.postivecharger.gap3,MSW__1,CTDD_hydrophobicity_FASG890101.3.residue50,APAAC_Pc2.Hydrophobicity.1,CKSAAGP_negativecharger.alphaticr.gap2,PAAC_Xc1.Y,CTriad_g1.g2.g2,CTDD_hydrophobicity_ARGP820101.3.residue75,DDE_WC,CKSAAP_QK.gap3,ABHPRK__81,Cougar__3,y
DBAASP1066,1.31429,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.59259,-0.9096,0.0,0.0,0.40741,-0.24324,0.75,-0.79522,1.66667,0.22158,-0.53363,0.0,0.0,-0.57259,0.768,0.0,0.0,0.85252,-0.45,0.62821,-0.98105,0.0,-0.41626,-0.26556,0.0,0.39291,-0.74074,0.87139,0.768,-0.43485,0.6609,0.87151,-1.01162,-1.2381,0.87901,0.0,0.0,0.0,-0.19586,0.62821,0.0,0.0,0.59409,0
DBAASP4348,1.31429,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.03704,0.21055,0.0,0.0,1.01852,-0.35135,1.375,0.27073,1.66667,-1.09049,0.32675,0.0,0.0,1.30501,0.768,0.0,0.0,0.61463,-0.45,0.62821,-1.3293,1.0,-0.13821,-0.74659,0.0,-1.90439,-0.74074,0.36308,0.768,-0.43485,0.6609,0.87151,1.90841,0.7619,-1.03879,0.0,0.0,0.0,0.29379,0.62821,0.0,0.0,-0.37351,0
DBAASP1280,0.93333,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.07407,-0.71134,1.25,0.0,0.65185,-0.05405,0.5,-0.5778,0.0,0.45658,0.03213,0.0,0.0,-0.03539,0.24281,0.0,0.0,0.59106,-0.45,0.19861,-0.64955,0.0,0.05528,0.48688,0.0,-0.49844,-0.74074,-0.23765,0.24281,-0.43485,-0.24784,-0.52849,0.03329,0.15584,-0.43846,0.0,0.0,0.0,0.56086,0.19861,0.0,0.0,0.58756,0
DBAASP4769,-0.06667,0.0,0.0,0.0,-0.13333,0.0,0.0,0.77778,-1.24253,0.0,0.0,1.4416,0.48649,-0.11538,-1.35257,0.625,-0.86117,0.99546,0.0,1.57143,0.32558,-0.45452,0.0,1.12951,1.95261,-0.12857,-0.37179,0.52657,1.0,0.71057,-0.02791,0.0,0.03716,0.37037,-0.32677,-0.45452,-0.07833,-0.79307,-0.52849,0.16398,0.0,-0.1926,0.0,0.0,0.5,0.18886,-0.37179,0.0,0.0,-0.52244,0
DBAASP2691,1.6,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-1.0,-0.40213,3.33333,0.0,0.16296,-1.37838,0.5,-0.20445,0.0,0.89747,-0.49012,0.0,0.0,1.72522,1.69986,0.0,0.0,-1.42551,0.3,1.39046,-3.83228,0.0,-0.41626,-2.6944,0.0,1.69336,-0.74074,0.10892,1.69986,-0.43485,-0.79307,-0.52849,0.08977,0.42857,2.31473,0.0,0.0,0.0,-0.44068,1072.05708,0.0,0.0,-1.57765,0
DBAASP2392,-0.4,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.62963,-0.46275,0.0,0.0,0.40741,-0.62162,-0.5,-0.54042,0.0,-0.80735,0.70996,0.0,0.0,-0.42372,0.768,0.0,0.0,0.40688,-0.45,0.62821,0.85119,1.0,0.19837,0.10094,0.0,1.69991,-0.74074,-0.14523,0.768,-0.43485,-0.79307,3.67151,0.22753,-0.57143,1.58557,0.0,0.0,0.0,-0.6855,0.62821,0.0,0.0,0.03602,0
DBAASP5037,-0.03636,-0.23941,0.0,0.0,-0.10769,0.0,0.0,0.92593,-0.09318,1.0,0.0,0.0,0.7027,0.75,-0.05352,0.0,-0.6686,0.76863,0.11111,0.0,0.06882,-0.232,0.0,0.0,-0.34585,-0.10385,-0.18977,0.88457,0.0,1.38537,-0.4528,0.0,-2.29976,-0.48433,0.40218,-0.232,-0.0509,0.07931,0.24929,0.93283,-0.72527,-1.35174,0.0,0.0,0.0,0.0678,-0.18977,0.0,0.0,-0.00665,0
DBAASP4320,-0.4,-0.21614,0.0,0.0,-0.07778,0.0,0.0,0.33333,0.00995,3.33333,0.0,-0.81481,0.2973,0.86364,-0.26955,0.0,0.76105,1.04787,0.0,0.0,1.1329,0.0,0.0,0.0,-0.52648,-0.075,0.0,2.31033,0.0,-0.41626,0.36311,0.0,-1.35704,-0.55556,0.10892,0.0,-0.2962,0.17624,-0.52849,-0.93165,-1.07143,-1.82322,0.0,0.0,0.0,-0.80791,0.0,0.0,2.0,1.14378,0
DBAASP3779,1.82222,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.14815,0.09456,0.0,0.0,0.65185,0.37838,1.0,0.03971,1.0,0.44566,-0.58342,0.0,0.0,-1.1065,0.24281,0.0,0.0,1.00483,-0.45,0.19861,-1.76503,0.0,-0.09106,-0.90609,0.0,0.18934,-0.74074,-0.65354,0.24281,-0.43485,0.2974,-0.52849,0.31055,1.24675,-0.15428,0.0,0.0,0.0,0.56086,0.19861,0.0,0.0,0.29185,0
DBAASP2807,0.6,-0.15562,0.0,0.0,-0.46667,0.0,0.0,-0.2963,0.33525,1.42857,0.0,0.2716,-0.05405,0.05556,0.16645,1.25,-0.72151,-0.04295,0.0,0.0,-0.00208,0.49809,0.0,0.0,-0.74489,0.0,0.40743,-0.77947,0.0,-0.41626,-1.08812,0.0,1.8945,0.37037,3.92124,0.49809,-0.43485,-0.79307,0.63818,-0.73284,0.42857,1.28544,0.0,0.0,0.0,0.0,0.40743,0.0,0.0,-0.31316,0
DBAASP463,-0.4,1.09509,0.0,0.0,0.05185,0.0,0.0,-1.11111,0.49592,0.0,0.0,-0.81481,-1.27027,-0.5,-0.35595,0.0,1.17621,-0.27742,0.0,1.22222,-0.94978,0.768,0.0,1.76019,-1.06657,1.05,0.62821,0.1509,1000799917193444.1,0.73984,0.74116,0.0,0.10517,0.37037,0.36308,0.768,0.8592,-0.79307,-0.52849,-0.98665,-1.2381,0.28462,0.0,0.0,1.0,0.29379,0.62821,0.0,0.0,0.67137,0
DBAASP1076,1.2,-0.51873,0.0,0.0,-0.46667,0.0,0.0,0.07407,-0.83665,0.0,0.0,0.96296,0.67568,0.86364,-0.75547,0.83333,0.55279,-0.06273,0.0,0.0,-1.0613,0.0,0.0,0.0,1.461,-0.45,0.0,-1.11523,-1.0,0.14472,-0.12626,0.0,-0.60604,-0.74074,-0.27231,0.0,-0.43485,0.17624,0.34651,-0.53367,0.42857,-0.95471,0.0,0.0,0.0,0.29379,0.0,0.0,0.0,0.39825,0
DBAASP2925,0.17143,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.51852,-0.33663,1.66667,0.0,-0.81481,-0.40541,0.75,-0.27947,1.66667,0.94965,0.28567,0.0,0.0,-0.16346,0.768,0.0,0.0,-0.73574,-0.45,0.62821,0.416,0.0,0.00976,0.56017,0.0,-1.04079,-0.74074,-0.14523,0.768,-0.43485,0.6609,0.87151,-0.38854,-1.2381,-0.80964,0.0,0.0,0.0,-0.19586,0.62821,0.0,0.0,1.19279,0
DBAASP1631,-0.4,0.5706,0.0,0.0,1.86667,0.0,0.0,-0.81481,0.77566,0.0,0.0,-0.81481,-1.0,-0.5,0.62935,0.0,-0.434,0.12182,0.0,1.1,-0.17853,0.49809,0.0,0.0,0.08895,0.9,0.40743,0.09486,0.0,-0.41626,-1.45029,0.0,0.17534,0.25926,0.26142,0.49809,0.39704,-0.16994,0.63818,0.1114,-0.17143,-0.24566,0.0,0.80827,0.0,-1.32203,0.40743,0.0,4.8,-0.85879,0
DBAASP3683,-0.4,-0.51873,0.0,0.0,0.61026,0.0,0.0,0.18519,-1.86717,0.0,0.0,-0.40741,0.72973,-0.5,-1.80888,0.0,1.64961,0.28472,0.0,0.0,-0.34989,-0.232,0.0,3.66364,-1.80662,0.58846,-0.18977,1.30204,-0.5,1.38537,1.216,0.0,2.20531,-0.74074,3.56933,-0.232,0.46103,0.95169,1.02707,-1.40388,-2.10989,1.96577,0.0,0.0,0.0,-1.62712,-0.18977,0.0,0.0,1.87247,0
DBAASP3186,-0.4,-0.51873,0.0,0.0,1.2303,0.0,0.0,0.77778,0.4339,2.5,0.0,0.16296,-0.37838,0.0,0.1739,0.0,-1.71525,1.07694,0.0,0.0,3.74968,0.24281,0.0,0.0,0.76885,-0.45,0.19861,0.9404,0.0,-0.41626,-0.22479,0.0,0.84937,-0.74074,1.42591,0.24281,0.47266,0.2974,-0.52849,1.73621,0.15584,-0.30445,0.0,0.79022,0.0,0.16025,0.19861,0.0,8.72727,-1.6952,0
DBAASP956,-0.4,1.09509,0.0,0.0,0.57037,0.0,0.0,-1.33333,1.55488,0.0,0.0,-0.81481,-1.43243,-0.5,1.36213,3.33333,0.81848,-0.04488,0.2,2.44444,-0.55789,0.768,0.0,0.0,-0.91209,0.55,0.62821,0.13332,0.0,-0.41626,0.69242,0.0,-0.05851,0.24691,-0.14523,0.768,-0.24999,-0.79307,-0.52849,-0.49052,-0.57143,-0.68335,0.0,0.0,0.0,-2.64407,0.62821,0.0,0.0,0.13556,0
DBAASP3678,-0.4,-0.51873,0.0,0.0,0.61026,0.0,0.0,1.0,-2.18693,1.0,0.0,0.0,0.27027,-0.08333,-2.27977,0.0,-0.85123,1.31092,0.0,0.0,0.62991,-0.232,0.0,3.38515,0.04732,0.58846,-0.18977,1.55029,0.0,1.38537,1.13281,0.0,-1.12963,-0.74074,0.75408,-0.232,0.46103,-0.79307,0.24929,1.13384,0.1978,-0.55124,0.0,0.0,0.0,0.0678,-0.18977,0.0,0.0,-0.16825,0
DBAASP701,0.74286,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.14815,-0.3199,0.0,0.0,0.40741,-0.51351,0.75,-0.30335,0.0,-1.38506,0.13821,0.0,0.0,0.82826,0.768,0.0,0.0,0.31187,-0.45,0.62821,-0.32511,1.0,0.19837,-0.16035,0.0,-0.62708,-0.74074,0.36308,0.768,-0.43485,-0.06609,-0.52849,1.0331,1.42857,0.88639,0.0,0.0,0.0,0.29379,0.62821,0.0,0.0,-0.3944,0
DBAASP706,1.31429,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.03704,-0.40354,0.0,0.0,1.01852,-0.35135,1.375,-0.4044,1.66667,-1.33526,0.24235,0.0,0.0,1.33818,0.768,0.0,0.0,1.0719,-0.45,0.62821,-1.34677,1.0,0.19837,-0.53828,0.0,-1.92668,-0.74074,0.36308,0.768,-0.43485,0.6609,0.87151,1.04598,0.7619,-1.99796,0.0,0.0,0.0,0.29379,0.62821,0.0,0.0,-0.63361,0
DBAASP3060,-0.4,0.59853,0.0,0.0,0.25128,0.0,0.0,-0.07407,0.39308,0.0,0.0,-0.40741,-0.16216,-0.5,0.40789,0.71429,-0.33324,-0.85893,0.0,0.84615,1.09016,-0.232,0.09091,0.0,0.43331,0.24231,-0.18977,-0.0288,692861481133922.0,0.30244,0.31697,0.11111,-0.26637,0.19943,-0.30163,-0.232,0.58901,0.5155,0.24929,0.13294,-0.26374,-0.3103,0.0,0.76246,0.0,-0.61017,-0.18977,0.0,1.84615,0.16362,0
DBAASP1424,0.4,-0.51873,0.0,0.0,-0.46667,0.0,0.0,0.40741,-0.31043,1.11111,0.0,0.51852,0.59459,0.86364,-0.2101,0.83333,0.24325,0.74149,0.0,0.0,0.5129,0.0,0.0,0.0,0.37155,-0.45,0.0,0.09078,0.0,0.11545,0.39778,0.0,0.64788,-0.74074,-0.27231,0.0,-0.43485,0.17624,1.22151,0.0301,0.42857,-0.38493,0.0,0.0,0.0,-0.44068,0.0,0.0,0.0,0.46123,0
DBAASP30,0.93333,-0.51873,0.0,0.0,-0.46667,0.0,0.0,0.2963,-0.19105,0.0,0.0,0.31339,0.97297,0.26923,-0.23637,0.0,-0.23727,-0.53261,0.0,0.0,-0.63647,-0.45452,0.0,0.0,-0.26203,0.19286,-0.37179,-1.8859,0.0,-0.41626,-3.34755,0.0,0.63094,-0.74074,-0.65354,-0.45452,-0.43485,0.0,-0.52849,-0.35992,0.0,0.26736,0.0,0.0,0.0,-0.44068,-0.37179,0.0,0.0,-0.55987,0
DBAASP881,-0.4,-0.51873,0.0,0.0,-0.46667,0.0,0.0,-0.7037,-0.51996,0.0,0.0,1.01852,-0.43243,-0.5,-0.56068,0.0,-0.47222,1.0672,0.0,0.0,-1.08189,0.768,0.0,0.0,0.78829,-0.45,0.62821,0.81914,1.0,0.19837,-0.58959,0.0,1.62014,-0.74074,1.888,0.768,-0.43485,-0.79307,3.67151,0.02953,-0.57143,1.66715,0.0,0.0,0.0,-1.17514,0.62821,0.0,0.0,-0.24612,0
DBAASP1874,0.17143,0.28818,0.0,0.0,0.05185,0.0,0.0,-0.48148,0.28727,1.66667,0.0,-0.2037,-0.67568,-0.5,0.38885,1.66667,1.39313,-0.59409,0.0,1.22222,0.69574,0.768,0.0,0.0,-1.27097,0.05,0.62821,-1.75555,0.0,-0.41626,0.35891,0.0,1.24042,0.0,-0.14523,0.768,0.67433,0.6609,0.87151,-0.2177,-1.2381,1.50627,0.0,0.0,0.0,-1.66478,0.62821,0.0,0.0,-0.07154,0
DBAASP3981,-0.4,0.59853,0.0,0.0,0.96923,0.0,0.0,-0.2963,-0.55228,0.0,0.0,0.81481,-0.08108,-0.5,-0.63135,2.14286,0.73642,-0.84269,0.0,0.84615,-1.89876,-0.232,0.0,1.82689,1.63779,0.93462,-0.18977,0.0441,0.0,0.70894,0.45851,0.0,0.29815,0.19943,1.4579,-0.232,0.84498,-0.79307,-0.52849,1.30112,-0.26374,0.70905,0.0,0.0,1.0,0.40678,-0.18977,0.0,0.0,0.33341,0
DBAASP1811,-0.4,0.5706,0.125,0.0,-0.0,0.125,0.0,-0.85185,0.71659,0.0,0.0,-0.81481,-0.91892,-0.5,0.59282,0.0,0.2014,-0.41515,0.0,1.1,0.12526,0.49809,0.125,0.0,-0.94624,1.35,0.40743,-0.10931,0.0,-0.41626,-3.31037,0.0,-0.69698,0.14815,0.71889,0.49809,0.89617,-0.16994,-0.52849,-0.9902,-0.17143,-0.28032,0.0,0.0,0.0,-0.44068,0.40743,0.0,0.0,-0.47184,0
DBAASP283,-0.4,-0.51873,0.0,0.0,0.25128,0.0,0.0,1.14815,-1.43637,1.0,0.0,0.0,0.59459,0.33333,-1.4874,0.0,-1.01818,1.18732,0.0,0.0,0.34663,-0.232,0.0,2.177,-0.14942,0.24231,-0.18977,1.10493,0.0,-0.41626,0.4317,0.0,-1.47542,-0.74074,0.75408,-0.232,-0.0509,-0.35688,0.24929,0.71545,-0.72527,0.18998,0.0,0.0,0.0,-0.27119,-0.18977,0.0,0.0,-0.43759,0
DBAASP4908,1.37778,-0.51873,0.0,0.0,-0.46667,0.0,0.0,0.33333,-0.16687,0.0,0.0,0.65185,0.24324,1.0,-0.25423,0.0,-0.5238,-0.13999,0.0,0.0,-0.26498,0.24281,0.0,0.0,0.81249,-0.45,0.19861,-1.32284,0.0,0.35285,-1.03885,0.0,-1.39287,-0.74074,-0.23765,0.24281,-0.43485,0.2974,-0.52849,0.78458,-0.38961,-0.75987,0.0,0.0,0.0,0.56086,0.19861,0.0,0.0,-0.60078,0
DBAASP1362,-0.06667,0.51873,0.0,0.0,1.2,0.0,0.0,0.22222,-0.6623,0.90909,0.0,0.68946,0.24324,-0.11538,-0.75189,0.625,0.05417,-1.0454,0.0,0.0,-1.77083,-0.45452,0.08333,1.47288,0.845,1.15714,-0.37179,-0.30965,0.0,0.50894,0.57811,0.0,0.24261,0.13228,-0.32677,-0.45452,0.15936,0.0,-0.52849,1.26809,0.42857,0.40721,0.0,0.0,0.0,0.18886,-0.37179,0.0,0.0,-0.03336,0
DBAASP4776,0.6,0.20749,0.0,0.0,0.0,0.0,0.0,-0.66667,0.35306,0.0,0.0,0.2716,-0.40541,0.05556,0.38169,1.25,0.61372,-0.9569,0.0,1.1,-1.00688,0.49809,0.0,0.0,-0.0108,0.0,0.40743,-0.30717,0.0,0.25041,-0.13412,0.0,-0.09205,0.14815,-0.19606,0.49809,0.89617,0.45319,1.80484,0.30284,-0.77143,-0.16407,0.0,0.0,0.0,0.0,0.40743,0.0,0.0,0.46271,0
DBAASP287,0.4,-0.21614,0.0,0.0,0.31111,0.0,0.0,0.62963,-0.37134,1.11111,0.0,0.07407,0.35135,0.86364,-0.34668,0.0,0.16091,0.98685,0.0,0.0,1.12549,0.0,0.0,0.0,0.58832,-0.075,0.0,0.55302,1.0,0.38211,0.11588,0.0,-2.41227,0.37037,-0.27231,0.0,0.67433,-0.30842,0.34651,1.00527,-0.07143,-2.54736,0.0,0.60107,0.0,0.29379,0.0,0.0,2.0,0.61474,0
DBAASP769,0.1,0.20749,0.0,0.0,-0.0,0.0,0.0,-0.66667,0.23413,0.0,0.0,-0.81481,-0.40541,1.16667,0.12901,1.25,1.34738,0.85425,0.0,0.0,-0.33991,0.49809,0.0,0.0,-0.43627,0.45,0.40743,1.37495,0.0,0.31545,0.44711,0.0,-0.85732,0.25926,-0.19606,0.49809,1.06255,-0.16994,-0.52849,-0.39142,1.02857,-2.14413,0.0,0.0,0.0,-0.88136,0.40743,0.0,0.0,1.68452,0
DBAASP4053,0.6,0.25936,0.0,0.0,-0.13333,0.0,0.0,0.51852,0.35867,1.81818,0.0,-0.43875,0.54054,0.26923,0.3412,0.0,-0.34253,-0.00878,0.0,1.57143,0.54208,-0.45452,0.0,0.0,0.11761,-0.12857,-0.37179,-0.5696,-1.0,-0.41626,-0.66469,0.0,0.24972,0.13228,0.0,-0.45452,0.8724,0.39654,0.17151,-0.23978,-0.85714,-0.10417,0.0,0.0,0.0,-0.44068,-0.37179,0.0,0.0,0.18579,0
DBAASP2904,0.32727,-0.23941,0.0,0.0,0.25128,0.0,0.0,0.14815,-0.99325,0.0,0.0,1.22222,0.40541,-0.08333,-0.94983,1.42857,-0.11722,-0.016,0.0,0.0,-1.35359,-0.232,0.0,1.32442,1.30828,0.24231,-0.18977,0.0061,0.0,0.13984,0.2252,0.0,0.98085,0.19943,1.8098,-0.232,0.33305,-0.35688,1.02707,0.53646,-0.72527,1.2279,0.0,0.0,0.0,-0.61017,-0.18977,0.0,0.0,0.17967,0
DBAASP4273,1.2,-0.51873,0.0,0.0,-0.46667,0.0,0.0,0.07407,0.11071,0.0,0.0,0.07407,0.75676,0.40909,0.12401,0.0,1.07139,-0.35377,0.0,0.0,-0.37635,0.0,0.0,0.0,-0.24497,-0.45,0.0,0.5351,0.5,0.44065,-0.30689,0.0,2.32978,-0.74074,-0.27231,0.0,-0.43485,1.14555,-0.52849,-0.82219,1.42857,2.12548,0.0,0.0,0.0,1.39548,0.0,0.0,0.0,1.35651,0
DBAASP102,-0.4,0.31922,0.0,0.0,0.61026,0.0,0.0,0.22222,0.76834,1.0,0.0,0.40741,-0.16216,-0.5,0.73112,0.71429,-0.4979,-0.83751,0.0,0.84615,0.72259,-0.232,0.09091,0.0,1.04764,0.24231,-0.18977,0.12778,0.0,0.46504,-0.16928,0.0,0.52805,0.11396,0.40218,-0.232,0.84498,-0.79307,0.24929,0.82002,0.1978,0.59242,0.0,0.0,0.0,0.40678,-0.18977,0.0,3.69231,-0.5805,0
DBAASP1437,0.0,-0.51873,0.0,0.0,0.31111,0.0,0.0,0.33333,-1.37684,1.11111,0.0,0.51852,0.32432,0.86364,-0.92758,0.83333,-0.27814,0.77762,0.0,0.0,-0.11178,0.0,0.1,2.31586,0.30111,0.3,0.0,-0.52034,1.0,0.11545,0.49578,0.0,0.09627,-0.74074,1.63385,0.0,-0.01891,0.17624,1.22151,0.76589,0.42857,-0.80694,0.0,0.0,0.0,-0.07345,0.0,0.0,0.0,-0.07328,0
DBAASP889,-0.4,1.15716,0.0,0.0,0.61026,0.0,0.0,-0.11111,2.21915,1.0,0.09091,-0.81481,-0.2973,-0.08333,2.12483,0.0,-0.53911,0.34356,0.0,0.84615,1.15389,-0.232,0.0,0.0,0.97695,-0.10385,-0.18977,0.71747,2771445924535690.0,-0.41626,0.41174,0.11111,-0.61505,0.37037,-0.30163,-0.232,0.84498,0.07931,0.24929,-1.23054,1.12088,-0.96966,0.1,0.0,0.0,0.0678,-0.18977,0.0,1.84615,-0.41879,0
