,lightgbm,gbc,lda,knn,et,rf,mlp,qda,catboost
DBAASP5037,1.705139704253161e-05,6.846983024306093e-05,0.002454084929953849,0.0,0.0,0.0,0.00010632735958398927,2.956966066653665e-07,0.0001525653828627716
DBAASP4320,5.651446058884745e-05,9.235236658444987e-05,0.0004712439377176561,0.0,0.04,0.01,0.0004218412353878929,7.39140060387925e-12,0.0005056451981741055
DBAASP3779,4.466450416632865e-06,3.578800020785225e-05,3.27483447484285e-05,0.0,0.0,0.0,1.7345294798556552e-05,4.472363834698609e-21,4.5751526789077843e-05
DBAASP2807,8.236317533009215e-06,3.578800020785225e-05,0.00017985130635376698,0.0,0.0,0.0,5.131810960427819e-05,4.892150648969598e-24,1.944912332221963e-05
DBAASP463,0.0006828542914293929,0.0006024468367277221,0.0012109454417497838,0.17647041136099065,0.07,0.13,0.2379082899245375,0.07720970280296137,0.005808706804466149
DBAASP1076,4.8006811354902986e-06,0.00010672458501483598,8.550855845939727e-05,0.0,0.0,0.0,1.812810729414562e-05,1.4182885577032173e-16,1.4651819333437707e-05
DBAASP2925,1.814411968786244e-05,4.470977373719546e-05,0.00010991308858655747,0.0,0.02,0.0,0.00029734989053625425,8.67563019773406e-08,0.00014804671775198508
DBAASP1631,0.00014328152449779555,0.00013544910434438214,0.0271509060017817,0.0,0.02,0.03,0.0050319730439511165,0.7684109180071136,0.0023039501088470238
DBAASP3683,7.625815520642268e-05,0.00016415141488368136,0.0035087149663305837,0.0,0.05,0.02,0.0004256529109693131,3.069638575437545e-07,0.0009961163355101965
DBAASP3186,0.0028360681380563274,4.57551860930758e-05,0.0033136253561882553,0.05295439955004383,0.02,0.02,0.007166131346207074,1.0274896394224863e-09,0.0018736825573940935
DBAASP956,0.12546555247464605,0.16593012488315304,0.7527712705761147,0.393488269933565,0.22,0.29,0.004298795433934906,0.32634144707116275,0.34954497685731084
DBAASP3678,2.729430355509498e-05,7.825641225676798e-05,0.000684255941108581,0.0,0.0,0.0,0.0006730289909044698,2.0006465341424072e-08,0.002160966981897277
DBAASP701,7.725837776608666e-06,3.578800020785225e-05,0.00012117396358624109,0.0,0.0,0.0,3.0917607766007953e-05,1.0820208073284522e-10,7.620354551813476e-05
DBAASP706,1.0781737123986257e-05,3.4055632077166864e-05,0.00021859984507665686,0.0,0.01,0.0,2.3747870672188086e-05,7.039755181985172e-20,4.565922483571433e-05
DBAASP3060,0.0002347811932961097,0.0007264774706754048,0.0003804509580154326,0.05882352953657761,0.07,0.01,0.2379082899245375,0.011937874519109881,0.0031866856912751928
DBAASP1424,1.8974323787676326e-05,3.675386838232059e-05,0.00021855281400436286,0.0,0.0,0.0,2.446230645136759e-05,7.410355736318107e-09,4.7439221811233414e-05
DBAASP30,4.159777160767166e-06,3.578800020785225e-05,3.010880051811574e-05,0.0,0.0,0.0,1.914460361452542e-05,5.775018650975568e-13,2.0092765432835987e-05
DBAASP881,7.5227075612797654e-06,5.3861287538900274e-05,0.0003849403108142755,0.0,0.0,0.01,5.112853837945424e-05,3.091514474497489e-13,0.00013231807268007079
DBAASP1874,3.471064542008485e-05,3.764838583226095e-05,0.0014144006368503126,0.0,0.02,0.0,0.00013648517667778548,2.1361801426896287e-07,0.0005529587672417726
DBAASP3981,3.092717818690199e-05,8.665109783211832e-05,0.0002829927486188373,0.0,0.04,0.02,0.00014743813659848874,1.1820515909331548e-09,0.0004213143132434744
DBAASP1811,0.052937222587395534,0.013587993673934002,0.9921905660213011,0.0,0.27,0.2,0.1635979528507804,0.13518050030375717,0.050076966018396944
DBAASP283,1.4352622686794011e-05,6.471574717929106e-05,0.0007164149843978113,0.0,0.0,0.01,0.0006623042053341955,3.1484751951582323e-09,0.0002133755139499541
DBAASP4908,5.795272710844932e-06,3.097888304674093e-05,5.023443675250705e-05,0.0,0.0,0.0,1.807284004809607e-05,7.109922478607243e-17,2.1332021520639286e-05
DBAASP1362,9.974590238033574e-05,5.044871837039767e-05,0.0002436401199546387,0.0,0.02,0.0,9.13450631464748e-05,2.6614845707437207e-06,0.00021203324335329962
DBAASP4776,2.6319505458226042e-05,4.344071512789172e-05,0.0003851848479125712,0.0,0.0,0.0,4.6811944847546946e-05,6.043842912091858e-06,0.00029318329693875004
DBAASP287,5.22945824128846e-05,3.709314374537611e-05,0.00015241418696960502,0.05776870389592597,0.02,0.0,0.00014963753188943472,3.073821510444353e-07,0.0005818882776007158
DBAASP769,0.00026089804489516443,0.00018500109630192315,0.00024522508146379384,0.029041471923902898,0.04,0.03,0.007901719455314305,0.3824765319915653,0.0023957459715361054
DBAASP4053,1.6783835632082666e-05,7.647553405701122e-05,0.0007526368619634589,0.0,0.0,0.0,2.8886202291963458e-05,4.4655761716347555e-08,0.00011547837584212277
DBAASP2904,7.698381513320183e-06,4.69258236853525e-05,3.2179218724666015e-05,0.0,0.0,0.0,2.2070400850532604e-05,6.060403013373747e-12,6.688255359196681e-05
DBAASP4273,1.4721554982752197e-05,5.126413509501921e-05,8.626370719901076e-05,0.0,0.0,0.0,1.898363942839282e-05,4.462901178442064e-10,0.00035913591445755233
DBAASP102,4.46978017307424e-05,4.748214566369559e-05,0.0010236708635760587,0.0,0.0,0.0,0.00015715647091306677,7.94010532390261e-06,0.0004889506722929649
DBAASP1437,3.386620490514067e-05,4.69258236853525e-05,0.006781059778488777,0.0,0.0,0.0,0.00013931352721950185,7.726745072224813e-10,0.00012217951466624518
DBAASP889,0.3092477117346796,0.743314916459664,0.20428426342906394,0.5039999619390015,0.29,0.47,0.2379082899245375,0.5814038345376388,0.7041662514389219
DBAASP348,7.112210834273628e-06,3.097888304674093e-05,0.0007951641753153225,0.0,0.01,0.01,3.449742868132594e-05,4.845253232754761e-17,0.0009047491694315215
DBAASP2620,0.0023183590431816586,0.014139721853006748,8.652654251826048e-05,0.1292645727972273,0.08,0.29,0.03503203875019076,1.52386905586518e-08,0.027427112337760465
DBAASP681,0.0520311267297471,0.0003515063827895502,0.0005832527953926697,0.12688105130976385,0.14,0.21,0.021199864457954937,4.596690371465207e-06,0.0025134937290561513
DBAASP719,1.0327749108671237e-05,4.231244722260566e-05,0.000176812285853671,0.0,0.0,0.0,4.8235670449044374e-05,6.290619253111724e-26,0.00011002259022553141
DBAASP1125,2.1282741216041226e-05,4.431830734788305e-05,6.657556938367449e-05,0.0,0.0,0.0,0.2379082899245375,1.141619887533762e-08,3.34257057667469e-05
DBAASP4579,8.202696578481191e-06,6.19043924154245e-05,0.0005300719846203559,0.0,0.01,0.0,2.6233532025647324e-05,6.800330182180859e-09,5.046694259589489e-05
DBAASP4158,8.810044187755431e-06,3.578800020785225e-05,6.363890285020294e-05,0.0,0.0,0.0,2.713895211978767e-05,1.6349583514646048e-09,1.8101793756604473e-05
DBAASP3651,3.18274168660636e-05,7.928763114721506e-05,0.0012951514704260144,0.0,0.0,0.0,0.0002944576630589822,4.18986142915628e-12,0.00044299912954662843
DBAASP5165,0.00988303961513301,0.08810625472231808,0.03988387253004589,0.1295894422216326,0.22,0.32,0.3860241183231363,0.9999999999991476,0.0340742732259928
DBAASP1732,6.062445268482291e-06,4.026426683920789e-05,0.0008270655671355536,0.0,0.0,0.0,7.38470143189574e-05,2.756176059680978e-19,2.2702915266424446e-05
DBAASP932,0.025409928043203515,0.01763663460564158,0.9835297860651427,0.24828650553867387,0.22,0.31,0.2379082899245375,0.00422925361796112,0.025976338932359656
DBAASP2495,0.02526110203507528,0.011395937099790743,0.20113602891007218,0.5999993081384578,0.33,0.24,0.2379082899245375,0.5746950427920784,0.3312305749106603
DBAASP4789,6.146916217666648e-06,4.69258236853525e-05,4.311977582545513e-05,0.0,0.0,0.0,1.740993341821869e-05,3.215741342801191e-08,6.777082173821366e-05
DBAASP4437,2.6309741046499065e-05,5.0780336139713596e-05,0.0021905312966057017,0.0,0.02,0.01,0.00015692526204415507,1.7005412347398531e-06,0.00020532504056170869
DBAASP1268,0.0002655175048002963,9.57772349033242e-05,0.012935294531713964,0.0,0.02,0.02,0.0007958486990419748,5.592479167023441e-07,0.0006991790560476435
DBAASP1562,1.0643467586307518e-05,4.288178871218608e-05,0.00028824225600678356,0.0,0.0,0.01,2.6905645804120796e-05,3.0028651681138357e-07,0.00014018738489734181
DBAASP218,1.994447416697917e-05,4.3194633979880285e-05,0.0005058977860866174,0.0,0.0,0.01,9.788192354844583e-05,1.2499459560114592e-15,0.0005763289526808577
DBAASP1467,6.847933748616181e-05,0.00016788107749249627,0.0007452882486090938,0.0,0.02,0.05,0.00012567922803761767,8.04464737854434e-22,0.00040924197715244557
DBAASP3022,2.715364938034583e-05,8.447068962621781e-05,0.00022418818350852633,0.0,0.0,0.01,0.2379082899245375,1.7611163862711226e-06,5.7477755632162045e-05
DBAASP2948,7.764524598799733e-06,3.80572284995288e-05,0.0007366904258519892,0.0,0.0,0.0,2.4523143956485843e-05,1.0345559393706235e-10,3.544090910500935e-05
DBAASP2752,8.792391764003951e-06,6.070663265490351e-05,0.0003215040369723198,0.0,0.0,0.02,3.939251186397433e-05,5.785932603296605e-19,3.424635269185326e-05
DBAASP3478,0.4721899469535986,0.2176521254451969,0.0792324312485265,0.4228723312690943,0.33,0.6,0.06574012675911957,0.9864335164676848,0.521122640750585
DBAASP1604,1.0701710562117485e-05,4.0556742871327166e-05,0.00011860795574853419,0.0,0.0,0.0,4.039345564885689e-05,4.104089121283464e-11,4.0522560815291426e-05
DBAASP3042,1.460466333743442e-05,3.578800020785225e-05,6.99572047680891e-05,0.0,0.0,0.0,1.964746156021511e-05,2.4113749746082063e-05,4.711107572530672e-05
DBAASP815,0.00010228449431351319,0.00433722204266836,0.0007880320501088053,0.0,0.05,0.11,0.003924750409909172,4.19839665006926e-09,0.0018610763257555052
DBAASP3361,1.6362504032811795e-05,4.69258236853525e-05,0.00026957145789889716,0.0,0.03,0.0,1.840829097383825e-05,1.7993020436858127e-10,3.3757337006444814e-05
DBAASP4210,0.009210076437678417,0.0002709785979432908,0.0023050592769284467,0.06332800852247242,0.15,0.1,0.0019326148573766727,2.2244084117682527e-20,0.005930361205169778
DBAASP4323,0.00011300832887124724,5.965162988241348e-05,0.0010173001232008701,0.0,0.03,0.0,0.0001422145949590076,5.204299347065197e-18,0.000529447984186066
DBAASP4309,6.612441460733945e-06,3.578800020785225e-05,0.0004537721231298714,0.0,0.0,0.0,2.2549346256393936e-05,5.30460382715941e-17,5.8092240667944285e-05
DBAASP1509,4.0467852983037864e-05,4.095464070780613e-05,0.001573767814720935,0.0,0.02,0.0,3.837074294297022e-05,0.0004415864459459332,0.0003266188873867379
DBAASP4112,7.244500836407341e-06,2.8736328739722958e-05,0.000642380164457653,0.0,0.0,0.02,5.927597280174707e-05,1.3917459503871125e-13,0.00010867633617096642
DBAASP161,3.581922454702255e-05,3.80572284995288e-05,0.00023822310463150195,0.0,0.0,0.0,6.745221430003497e-05,5.263375100194278e-05,0.00016263875230270299
DBAASP639,1.145399207645611e-05,4.69258236853525e-05,0.00019731050290054057,0.0,0.0,0.0,2.2808224754575793e-05,3.381990313756013e-12,3.543800907145674e-05
DBAASP1073,4.249799132063923e-06,4.051156730510153e-05,0.0003342322550127221,0.0,0.0,0.0,4.098618822969907e-05,3.9284284603677516e-16,3.467745982587299e-05
DBAASP2625,1.851856023453078e-05,0.00011198149112475807,0.00018043050237328908,0.1764705435136247,0.04,0.02,0.2379082899245375,0.0006699147914377226,0.00045986984326678177
DBAASP3771,3.77528059050666e-05,3.4941643639318366e-05,0.00047931786461041353,0.0,0.0,0.0,2.4776423765082823e-05,3.443597436133369e-15,5.678659744204812e-05
DBAASP2280,1.194648430198719e-05,3.578800020785225e-05,0.0006952623374834881,0.0,0.0,0.0,2.2858550928009373e-05,6.44803215223825e-26,2.3605976193422594e-05
DBAASP816,1.3586759333428189e-05,6.844032253097594e-05,0.0003740392922864407,0.0,0.0,0.0,6.869444321611853e-05,6.442258000512666e-14,0.0003024422937504282
DBAASP1428,5.211381174041706e-06,3.934236053224126e-05,0.00023484467701294538,0.0,0.0,0.0,3.166659145608011e-05,1.1518728497649416e-16,2.1307342515897356e-05
DBAASP1697,8.623108658790396e-06,3.578800020785225e-05,0.00017113522675428738,0.0,0.0,0.0,3.054796940553982e-05,1.8223695794462128e-07,2.3165382489698574e-05
DBAASP2532,0.00025261295852213773,0.0028441944562347036,0.0023842676568356595,0.0,0.08,0.09,4.7347893475492416e-05,0.003047591341910266,0.001142718320653003
DBAASP4806,4.631897011066517e-06,3.578800020785225e-05,0.00011925978511986766,0.0,0.0,0.0,2.896776379769539e-05,1.4604802448782226e-08,4.309087892461086e-05
DBAASP1736,9.889701262761149e-05,4.415349914065306e-05,0.001262080378149302,0.0,0.02,0.02,7.01641510758471e-05,3.286721365150736e-06,0.0006973757717586004
DBAASP1666,1.938524304784197e-05,7.740367444270443e-05,4.141156466139304e-05,0.0,0.01,0.0,3.800672160753351e-05,2.1024048559692193e-17,0.0006391864634766014
DBAASP1654,0.00010560235148080244,0.0004890662422436029,0.7565398936338585,0.16666665245496903,0.16,0.09,0.2379082899245375,0.040000475236573366,0.006100346211490432
DBAASP1541,1.5644673350781814e-05,3.578800020785225e-05,0.00019364363059233726,0.0,0.0,0.0,2.713014919413496e-05,2.702990305756652e-15,0.00017962014813905725
DBAASP4925,4.373019253846033e-06,3.578800020785225e-05,2.7570484996343225e-05,0.0,0.0,0.0,1.6104558487220473e-05,1.355033790637244e-17,1.7093028230105357e-05
DBAASP1680,0.5462050602192038,0.2955183642371449,0.37628510992469655,0.1764705564780348,0.34,0.33,0.2379082899245375,0.8755916350395418,0.2322533635401039
DBAASP1391,0.002912536507909775,0.00014394076112920045,0.004049272285711326,0.0588235329853353,0.07,0.04,0.2379082899245375,0.004823495009793655,0.002088844564931849
DBAASP263,5.402639499391187e-05,5.6650107812512805e-05,0.0007429074886877393,0.0,0.01,0.0,3.191786473412507e-05,3.19186232428888e-07,0.00010093500434492378
DBAASP4354,2.929546021145935e-05,3.406292658610808e-05,0.0004770267886875167,0.0,0.01,0.0,2.235017735329754e-05,8.223641716186325e-15,0.0001232286865455213
DBAASP2120,2.235449761317558e-05,3.178740415599523e-05,0.0003320434220613739,0.0,0.0,0.0,3.753425150808588e-05,0.0001498420727594089,0.00019451828290601008
DBAASP3121,0.0016564637546763639,0.00025981320274121364,0.0003000425901221294,0.14499817042215082,0.07,0.07,0.0012378934653062854,1.3598845013168835e-07,0.007296248869606133
DBAASP2207,1.627045807234257e-05,7.553356084609771e-05,0.010541990868165728,0.0,0.0,0.0,0.0002399003208133661,2.0304137531961325e-06,0.00042899848888444664
DBAASP4526,0.0038921923675666664,0.0003380137253285214,0.007506488427991462,0.16666667700602644,0.01,0.22,0.2379082899245375,0.020195039105698066,0.004878513888578657
DBAASP5023,9.91500564344128e-06,3.6592869348712414e-05,0.0012263718219665425,0.0,0.01,0.0,0.00028735135595945303,6.78358288843773e-07,0.0004143543268955072
DBAASP504,0.005641737801560671,0.0014308505698714766,0.02513963718108621,0.2912608982505872,0.1,0.13,0.9175786938346356,0.0019247497949778155,0.007906686693260574
DBAASP1289,8.421732765273482e-06,5.3675422151722776e-05,0.00023961165450788404,0.0,0.0,0.0,2.2722579888159498e-05,5.5359229668590756e-17,8.462449076533378e-05
DBAASP1072,1.4125653285335892e-05,4.328780619246082e-05,4.481387191502627e-05,0.0,0.0,0.0,2.6271189571072e-05,7.69470037918236e-15,0.00012189849331161507
DBAASP1425,8.808927634421591e-06,3.80572284995288e-05,0.0006236618488166188,0.0,0.0,0.0,3.989324647819552e-05,6.088847639333699e-12,2.8394986107601106e-05
DBAASP3077,6.176985882715248e-06,3.578800020785225e-05,0.0005052446510114147,0.0,0.0,0.0,1.8962588256425466e-05,1.8370112381895185e-20,3.257974266844292e-05
DBAASP4411,0.033954283619752265,0.042583069992867255,0.3540378975494787,0.23529416394350336,0.21,0.22,0.2379082899245375,1.574593430990718e-07,0.032852260583402126
DBAASP1260,5.81508877344329e-06,3.80572284995288e-05,0.0005899355746605133,0.0,0.0,0.0,2.9572358557792816e-05,1.6386873967450223e-06,6.18917155413755e-05
DBAASP1706,9.065360240501427e-05,5.189207230653034e-05,0.00036929693512156994,0.058823522119573875,0.05,0.07,0.2379082899245375,2.704147921474075e-06,0.0017062399930580798
DBAASP3355,2.768482421054481e-05,3.348089089716262e-05,0.0012401041690204915,0.0,0.01,0.01,7.994887243224724e-05,2.844393155099257e-05,0.00032615897816994934
DBAASP1494,0.0015982802307108065,0.001703598905625322,0.0005375298748440387,0.0,0.16,0.22,0.2159621905239283,2.0604882908468844e-13,0.010236251257995951
DBAASP219,1.994447416697917e-05,4.3194633979880285e-05,0.0006410108670174904,0.0,0.01,0.01,0.00010915800825742303,5.476612242366107e-16,0.0007586410305610572
DBAASP2478,8.899786330505316e-06,3.542937557844605e-05,0.00019014116486726793,0.0,0.01,0.0,1.980313665856608e-05,7.277407292605153e-13,2.8659488456410367e-05
DBAASP628,1.0347348975677185e-05,4.69258236853525e-05,9.642002948606672e-05,0.0,0.0,0.01,1.6642786627611964e-05,3.981965636085517e-14,2.628370080628226e-05
DBAASP5160,2.397008823090392e-05,4.69258236853525e-05,0.0006295721063749438,0.0,0.0,0.0,1.810451054675362e-05,2.626523813014622e-06,6.22383485855887e-05
DBAASP229,6.2411758365481824e-06,3.8396190385392337e-05,0.00035354878953222874,0.0,0.0,0.0,8.752096858260589e-05,1.6088902499537522e-20,4.973080612038034e-05
DBAASP4225,5.8087497049376806e-06,3.578800020785225e-05,0.00025844366534212413,0.0,0.0,0.0,1.7024632671838335e-05,4.901432557478334e-19,4.832287881998819e-05
DBAASP4435,3.987162221266797e-06,4.231244722260566e-05,0.0003604613783378094,0.0,0.0,0.0,5.323814132474712e-05,1.8491858815397424e-08,5.42698479980092e-05
DBAASP4475,3.6605942859080246e-05,3.991381033052487e-05,9.968995854547135e-05,0.0,0.0,0.0,4.763230827536947e-05,0.0002832335614030874,0.00010880821228969665
DBAASP2064,0.01579721387349484,0.013498553461860952,0.33481000459195276,1.5729013569888902e-07,0.12,0.17,0.2379082899245375,0.000760545270866678,0.05773627829608777
DBAASP1023,3.390410960212672e-05,5.7849861949701014e-05,0.0002409024390360819,0.0,0.0,0.0,4.0523632675832e-05,2.942769274142752e-10,0.00041371192086162755
DBAASP2919,4.5478350087660785e-06,3.578800020785225e-05,0.0001958400266217252,0.0,0.0,0.0,2.4171659388472975e-05,4.248114243484563e-18,4.383209060155257e-05
DBAASP1542,9.686147554866234e-06,4.328780619246082e-05,6.538906739355845e-05,0.0,0.0,0.0,2.5660370166881046e-05,2.1767548230199194e-10,3.334725883502115e-05
DBAASP1165,2.396068942906035e-05,3.578800020785225e-05,3.9388172627951596e-05,0.0,0.0,0.01,5.933322151904286e-05,0.00038295020243232075,0.00010993059366393484
DBAASP1573,6.020518885440727e-05,5.5575640544868966e-05,0.0010334458885127573,0.0,0.0,0.02,5.131770073310598e-05,1.3791380606899014e-08,0.0006837874823483254
DBAASP1394,9.65886465928522e-06,3.578800020785225e-05,0.0003986086091993554,0.0,0.02,0.0,1.8253661284019476e-05,1.0020573853773545e-08,9.666560558242605e-05
DBAASP2724,9.901668882830694e-06,3.578800020785225e-05,0.00011892035015329658,0.0,0.01,0.0,2.3355479378812612e-05,6.3597393393896935e-06,0.0001381794424028175
DBAASP2689,0.00013465572636830832,0.00048413192997783476,0.0015176926548887732,0.06379607875964757,0.04,0.09,0.01199105656898163,1.4550659666436447e-41,0.016842075583654293
DBAASP3132,0.00076301306651456,0.001430420628283807,0.024304798133927996,0.0,0.11,0.09,3.8881722567593957e-05,2.252310420415345e-07,0.005860418550901561
DBAASP2039,6.909254477619712e-05,4.051156730510153e-05,0.0002284780463871094,0.03929147107167786,0.01,0.0,0.011990587710208868,6.08966059578843e-54,6.335078183485174e-05
DBAASP1163,2.232180875803729e-05,6.952772792400768e-05,0.0002845205336498393,0.0,0.02,0.04,3.317153285905687e-05,1.4466490593360016e-11,0.0002009794832493207
DBAASP3347,3.688849416209872e-05,9.326287236042439e-05,0.004917534071494209,0.0,0.08,0.03,0.0006431495416890332,0.002108070842519439,0.0025037479808753655
DBAASP117,5.427043604626405e-05,5.374049224490953e-05,0.0010649010387859602,0.0,0.03,0.0,0.0007026281702058639,4.054401072882843e-07,0.0004310727728294264
DBAASP3205,6.897727084888407e-06,3.956145141329793e-05,9.71144160396973e-05,0.0,0.0,0.0,1.8628859563030933e-05,1.5704963051577422e-12,3.773024598703986e-05
DBAASP228,1.0372080253673063e-05,4.494169478785737e-05,0.00044021461879179696,0.0,0.01,0.0,0.00010530963472035003,1.1822987193512963e-21,0.00020591463053038205
DBAASP3652,0.00011069577855377666,0.011422546528475817,0.03244757298313604,0.0,0.12,0.14,0.0005560075309635504,0.0002474460637786375,0.012777496736313046
DBAASP1656,5.822061706041096e-06,3.5581010884574584e-05,0.00012220391392096176,0.0,0.0,0.0,1.6656489430958575e-05,2.6637506830134164e-23,2.384099908112054e-05
DBAASP2145,7.111545838511721e-06,4.148837278026359e-05,0.0006665067855262293,0.0,0.0,0.0,4.915771639813884e-05,1.5378547914199377e-20,0.00011772404469378802
DBAASP217,1.975251203091376e-05,6.855468561340616e-05,0.0013033035532373613,0.0,0.01,0.0,0.008658913481300065,8.220760406017064e-16,0.0005196328122891772
DBAASP2768,1.0079218201229181e-05,3.578800020785225e-05,0.0004345587770374754,0.0,0.0,0.0,0.00021842966372041675,4.0203079806357454e-19,5.851287432431126e-05
DBAASP1831,8.295151429769006e-05,6.19043924154245e-05,0.0004339740958374458,0.0,0.0,0.0,6.875544291500491e-05,0.0005975462073249388,0.00044783532153734595
DBAASP1159,6.168263964843911e-06,3.578800020785225e-05,0.00030959981754106336,0.0,0.0,0.0,4.384874843341917e-05,2.515432580303641e-23,0.0001623217749172023
DBAASP3113,7.078257591221521e-06,3.578800020785225e-05,0.00048796983873112306,0.0,0.0,0.0,2.5536787635799725e-05,4.164959410484017e-10,0.00020295212740002093
DBAASP209,2.337929512790134e-05,4.026426683920789e-05,0.001393035213770557,0.0,0.0,0.0,0.00032277202635141625,4.479364677093646e-11,0.00028176761739078985
DBAASP679,4.72740097353971e-05,3.1667261644952144e-05,3.338627283241123e-05,0.0,0.01,0.02,0.00028090471462016996,6.489199192337894e-19,0.00023361376649865735
DBAASP4786,1.938268780434736e-05,6.936827731535886e-05,0.0014757609923774792,0.0,0.02,0.0,2.799646626423215e-05,1.7686527798942412e-05,0.00027066886513255913
DBAASP152,7.612897772017696e-05,5.130168928786992e-05,0.0017741193387061417,0.0,0.01,0.02,0.0002917095533170255,2.4760139230147093e-14,0.001294819884809665
DBAASP2341,2.1807053127384016e-05,4.2427201492485625e-05,0.0007645544961689321,0.0,0.01,0.0,4.285034611972803e-05,5.051738541968968e-07,0.00034864311868612916
DBAASP4967,7.851622529249648e-06,5.273382447606645e-05,9.712039644059371e-05,0.0,0.01,0.0,1.9117268141623624e-05,9.62569191624742e-16,9.886936279341569e-05
DBAASP2215,2.2658894876359807e-05,0.0001312087556679073,0.0002588350827058365,0.01850578372200524,0.0,0.0,0.012022549269234208,1.4372938867187442e-17,0.0006632047559483694
DBAASP1471,4.575539407652488e-05,0.0001344555699627032,2.4783910331350916e-05,0.09090923888045982,0.01,0.02,0.2379082899245375,0.0005488773638457023,0.0006836259733149965
DBAASP4715,0.019882781054304945,0.551407077621766,0.9391400378463695,0.0,0.35,0.23,0.2379082899245375,0.450410759511051,0.024835983467014915
DBAASP1876,3.419091712784211e-05,3.7412442656333606e-05,0.0002611922747231032,0.0,0.0,0.0,2.5440836007614532e-05,2.3384403735706264e-13,9.987654122543324e-05
DBAASP5036,8.098919178858725e-06,3.578800020785225e-05,0.0001478150177477493,0.0,0.0,0.0,2.3282688659430976e-05,2.506201410901912e-15,6.072113962018726e-05
DBAASP134,5.572100726809278e-06,3.578800020785225e-05,6.500129479565952e-05,0.0,0.0,0.0,2.4580438293934456e-05,5.304675675426934e-28,2.372886196753236e-05
DBAASP1597,0.0072449891092763305,0.0024211819396914476,8.481578166856414e-05,0.11111157946818744,0.09,0.23,0.2379082899245375,0.009139933799946388,0.0225838387487969
DBAASP2780,1.4821875139143372e-05,3.854695685645369e-05,0.000505333600167651,0.0,0.0,0.0,0.00014692171062775076,4.258586111501356e-22,3.519962878361405e-05
DBAASP1852,0.0011669554664219617,0.0013680241383056263,0.08702129813070028,0.2352941301682411,0.1,0.12,0.2379082899245375,0.0008909131633042727,0.0034058453757796433
DBAASP3737,1.0882120241858552e-05,3.578800020785225e-05,3.4941153879254936e-05,0.0,0.0,0.0,2.9954791544623708e-05,9.549213383580561e-07,4.51525691972557e-05
DBAASP712,1.005059551008072e-05,3.097888304674093e-05,0.00023392976149476212,0.0,0.0,0.0,2.304705144926373e-05,2.9501426458402218e-18,4.6339085291937024e-05
DBAASP2575,3.9175768768911904e-06,3.578800020785225e-05,0.000264173682611886,0.0,0.0,0.0,2.5848036270238905e-05,1.9114665593546555e-16,1.0079836350085629e-05
