,GTPC_uncharger.postivecharger.alphaticr,CKSAAP_GP.gap2,GTPC_alphaticr.postivecharger.alphaticr,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAP_PK.gap3,DDE_PG,DDE_TW,CKSAAP_TK.gap1,DDE_MQ,DDE_RA,CTriad_g1.g2.g3,ABHPRK__33,DDE_RP,NMBroto_CHAM810101.lag2,CTDT_hydrophobicity_PRAM900101.Tr1331,MSW__6,CTDD_hydrophobicity_CASG920101.2.residue50,Z3__17,Calculate_charge,DDE_RQ,DPC_GF,Kytedoolittle,Z3__16,PAAC_Xc1.W,CKSAAP_DP.gap1,NMBroto_CHAM820102.lag1,ABHPRK__55,CTDD_hydrophobicity_FASG890101.2.residue100,Z3__24,APAAC_Pc1.P,CTDD_hydrophobicity_PONP930101.2.residue75,Z5__19,MSW__1,CKSAAGP_uncharger.postivecharger.gap2,DDE_NT,CTriad_g4.g5.g1,ABHPRK__75,PAAC_Xc2.lambda1,APAAC_Pc1.G,CTDC_normwaalsvolume.G3,Z3__11,Ez__22,CTDD_hydrophobicity_PRAM900101.1.residue100,CTDD_hydrophobicity_ARGP820101.1.residue50,Z3__30,Ez__6,CTDD_charge.2.residue50,QSO3_SC_P,Aliphatic_Index,CTDT_charge.Tr1221,y
random_peptide_11,0.0,0.0,0.2,0.0,0.0,0.49895,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.52431,-1.53962,0.0,-1.2614,-0.68588,-2.51948,0.49994,0.47619,0.0,-0.50219,1.33046,0.0,0.0,0.63867,0.0,-0.16116,0.8622,0.0,-0.13889,0.03488,0.72819,0.0,0.47619,0.0,0.0,1.30743,1.02085,-0.4898,0.51793,0.84246,-0.40714,0.64278,0.50625,-0.60658,1.16883,0.0,1.3449,0.58333,0
random_peptide_12,0.0,0.0,0.0,0.08333,0.0,-0.54884,-0.52381,0.0,-0.52381,-0.59683,0.0,0.08333,-0.57673,-0.47293,-0.07299,-0.29351,-0.68588,0.82292,0.0,-0.52381,0.0,0.48025,0.08942,0.0,0.0,0.06825,0.1,0.37605,-0.11102,1.89667,0.97222,0.25938,-0.14983,1.36152,-0.52381,0.0,0.1,-0.74094,0.95298,0.30612,-0.40171,-0.13337,-0.40714,0.64278,-0.26842,0.36428,-0.25974,1.30016,0.06024,-0.04487,0
random_peptide_13,0.14286,0.0,0.0,0.0,0.0,0.1555,0.14841,0.0,0.14841,0.1691,0.0,0.0,0.16341,0.25598,1.89781,-0.19536,1.51831,-0.01544,0.46591,0.14841,0.0,2.40503,-0.5478,0.0,0.0,-0.26634,0.0,-1.08636,-0.01109,0.0,0.54012,-0.08128,-0.26606,2.49612,0.14841,0.0,0.0,0.2972,0.0,-0.66667,-0.07984,-0.41863,0.45,-0.23175,0.60638,0.05224,-0.10101,0.0,0.9607,0.29167,0
random_peptide_14,0.14286,0.0,0.0,0.0,0.0,0.1555,0.14841,0.0,0.14841,0.1691,1.0,0.0,0.16341,-0.30909,-0.23723,0.08411,-0.77967,-2.34462,0.49994,0.14841,0.0,0.57987,0.29786,0.75611,0.0,-0.10198,0.0,0.37605,0.54378,0.95927,-0.75617,-1.325,1.66062,0.0,0.14841,0.0,0.2,0.77867,0.0,0.57143,-0.5208,-0.44687,-0.21667,-0.23175,0.17998,-0.85279,-0.10101,0.91112,0.04557,0.29167,0
random_peptide_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4589,-0.94891,0.98448,1.84659,-0.39391,-1.03491,0.0,0.0,-0.16622,1.09074,0.0,0.0,-2.30763,0.0,0.18802,-1.27666,0.94458,0.0,-0.41661,-1.88626,0.0,0.0,0.0,0.0,-0.72059,1.89842,-1.28571,0.80177,-0.04927,0.15,0.38042,-0.25416,1.05661,-0.54545,0.83843,-1.05633,-0.58333,0
random_peptide_16,0.0,0.0,0.0,0.0,0.0,0.1555,0.14841,0.0,0.14841,0.1691,0.0,0.0,0.16341,0.30132,-0.23723,1.32675,-0.77967,-0.26447,0.49944,0.14841,0.0,1.51122,-0.11713,0.74188,0.0,0.78828,0.0,-1.5042,-1.18874,0.0,-0.97222,0.36418,1.41256,0.0,0.14841,0.0,0.0,-0.10506,0.0,1.19048,-0.32232,0.27478,0.45,0.58447,-0.23334,-1.17373,-0.10101,0.0,0.23233,0.29167,0
random_peptide_17,0.09091,0.0,0.0,0.0,0.0,-0.42064,-0.40145,0.0,-0.40145,-0.45742,0.0,0.0,-0.44201,-1.04537,-0.47445,2.19851,-0.19886,1.94183,0.54798,77.02812,0.0,-0.10623,0.78945,0.76727,0.0,0.18752,0.0,0.37605,-0.80331,0.0,0.37393,-0.36026,1.23905,0.0,-0.40145,0.0,0.0,-0.51838,0.95672,1.71429,0.05115,0.59742,-0.24231,-1.17354,-0.40153,-1.12462,0.06993,0.0,0.28836,0.0,0
random_peptide_18,0.0,0.0,0.0,0.0,0.0,0.49895,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.52431,-1.58456,0.94891,-0.42357,0.58036,-0.14069,0.49994,0.47619,0.0,1.02332,1.21643,0.0,0.0,0.48211,0.0,-0.69838,0.66822,0.0,0.41667,-0.19248,-0.09144,0.0,0.47619,0.0,0.0,0.27981,1.04172,0.30612,-0.08717,-0.26537,0.45,-0.93137,-0.69472,-0.50591,-0.25974,0.0,-0.04781,0.0,0
random_peptide_19,0.0,0.0,0.0,0.0,0.0,0.49895,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.52431,1.3736,-0.94891,1.09545,-0.68588,-3.25593,0.54898,0.47619,0.0,0.29771,1.49996,0.0,0.0,-1.0494,0.0,0.37605,-0.35564,0.0,0.13889,0.23254,0.21498,0.0,0.47619,0.0,0.0,0.9319,1.01555,1.10204,-0.55374,-0.43024,-0.83571,0.11806,-0.59176,-0.34329,-0.25974,0.0,-0.98429,0.58333,0
random_peptide_20,0.0,0.0,0.0,0.0,0.0,-0.28697,-0.27388,0.0,-0.27388,-0.31206,0.0,0.0,-0.30155,-0.17862,1.12143,0.29166,0.61553,0.59247,-1.53434,-0.27388,0.0,0.4011,-0.5799,0.0,0.0,0.13457,0.0,-1.5042,-0.75413,0.0,0.16204,-0.00356,0.36305,0.0,-0.27388,0.0,0.0,0.4317,0.0,-0.35714,1.08497,0.82102,0.2,-0.23175,-0.28612,-0.79234,-0.37879,0.0,0.69457,-0.58333,0
random_peptide_21,0.0,0.125,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,1.0,0.0,-0.15455,-1.52923,-0.94891,0.58653,-0.30217,1.83526,-0.0015,-0.14037,0.0,-0.36184,0.37786,0.0,0.0,1.13189,0.0,0.37605,-0.62412,1.87233,-0.26515,0.51433,0.58806,0.0,-0.14037,0.0,0.14286,-0.96843,0.94076,-0.27273,0.13171,0.15102,0.17727,-0.12045,0.2967,-0.67774,0.0,2.08983,0.27308,-0.58333,0
random_peptide_22,0.0,0.0,0.0,0.0,0.0,-0.54884,-0.52381,0.0,-0.52381,-0.59683,0.0,0.0,-0.57673,0.3958,1.24088,-0.87103,-0.68588,0.55279,-1.49981,-0.52381,0.0,0.4698,-0.38698,0.0,0.0,-0.03391,0.0,-0.42977,0.8069,0.0,0.69444,-0.09014,0.93039,0.0,-0.52381,0.0,0.0,0.15873,0.0,-0.88776,0.46581,0.20795,-0.40714,0.64278,-0.04895,-0.3711,0.45455,0.0,0.52848,-0.58333,0
random_peptide_23,0.16667,0.0,0.16667,0.16667,0.0,0.32107,0.30643,0.0,0.30643,115.86177,1.0,0.16667,0.33739,0.62046,-0.94891,0.08308,0.0,-1.54873,1.00038,0.30643,0.0,0.46935,-0.16504,0.0,0.0,1.13398,0.0,-1.5042,1.63118,0.0,0.48611,0.30327,-0.22255,2.99535,0.30643,0.0,0.0,2.11617,0.0,0.10714,-0.93256,-0.64535,0.075,-0.99696,1.54603,-0.2136,-0.79545,0.0,0.22533,1.41667,0
random_peptide_24,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,0.12895,0.47445,1.01542,1.84659,-0.14172,-0.50044,0.86501,0.0,0.04307,-1.03134,0.0,0.0,-0.27598,0.0,0.0,0.11683,0.0,-0.97222,-0.93692,-1.85511,0.0,0.86501,0.0,0.0,-0.96342,0.0,-1.28571,0.19504,-0.57891,-0.15,0.01312,0.92857,0.94058,1.45455,0.0,0.08666,-0.58333,0
random_peptide_25,0.0,0.0,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15455,-1.83028,-0.37956,-0.41852,-0.57076,0.21801,-0.0015,-0.14037,0.0,1.036,-0.34597,0.0,0.0,0.69929,0.0,-0.13675,-0.18071,0.938,-0.26515,0.42049,1.5827,0.0,-0.14037,0.0,0.0,-0.80584,0.0,-0.27273,0.86174,1.45635,-0.64091,-0.45436,0.23167,-1.16079,0.0,1.10999,1.31216,-0.58333,0
random_peptide_26,0.0,0.0,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15455,-0.66913,-0.94891,-1.25996,-0.03357,0.41642,-0.001,-0.14037,0.0,-0.90141,-0.20203,0.0,0.0,-0.20997,0.0,-0.30768,0.26607,0.8943,-0.44192,0.14204,1.65497,0.0,-0.14037,0.0,0.14286,-0.97016,0.0,-0.27273,0.59996,0.42332,-2.55,0.88128,-0.6835,-1.33009,0.0,1.21163,1.15935,-0.58333,0
random_peptide_27,0.0,0.0,0.2,0.0,0.0,0.49895,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.52431,1.87921,2.84672,-0.35298,1.84659,-0.54816,-0.49994,0.47619,0.0,0.76485,-0.70676,0.0,0.0,0.15655,0.0,-1.5042,-0.23612,0.0,-0.97222,0.91139,0.34173,0.0,0.47619,0.0,0.0,1.31959,0.0,0.30612,0.73398,1.52286,-0.40714,-0.40665,-1.07162,-0.44696,1.16883,0.0,1.58502,0.58333,0
random_peptide_28,0.1,0.0,0.0,0.0,0.0,-0.28697,-0.27388,0.0,-0.27388,-0.31206,0.0,0.0,-0.30155,3.26081,0.08626,-0.70373,-0.36932,-1.96076,0.99987,-0.27388,0.0,-0.26315,0.71598,0.0,0.0,-1.65154,0.0,0.37605,0.37605,0.99165,0.64815,0.43172,0.40154,1.66408,-0.27388,0.0,0.125,1.01075,0.99651,0.10714,0.05989,0.53242,0.2,0.07433,-0.02451,-0.66221,-0.37879,0.70829,1.36691,0.68939,0
random_peptide_29,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,1.98288,1.89781,-0.01609,-0.51705,-0.45793,-0.0005,0.86501,0.0,1.37517,-0.77363,0.0,0.0,-0.45514,0.0,-0.7521,-0.46164,0.0,0.58333,-0.76196,-0.40928,0.0,0.86501,0.0,0.0,-0.08538,0.0,-1.28571,0.82037,0.28577,0.45,0.01312,0.92857,-0.80494,-0.54545,0.0,1.7339,-0.58333,0
random_peptide_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29744,-0.3163,0.62487,0.96023,-2.35268,1.00088,0.0,0.0,-0.55939,0.98372,0.66185,0.0,0.54747,0.0,-0.94012,-0.15918,0.99232,0.38889,0.58498,-0.45531,0.0,0.0,0.0,0.0,1.06592,0.99719,0.94286,-1.32196,-0.50306,0.45,-0.72148,-0.22709,0.35825,0.45455,0.69626,-0.40079,0.58333,0
random_peptide_31,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,-1.35201,-0.94891,-0.55654,0.66477,0.01644,0.49994,0.86501,0.0,1.09971,-0.76704,0.0,0.0,1.12543,1.0,0.37605,0.28238,2.09947,0.19444,-0.6069,-0.45159,0.0,0.86501,0.0,0.0,-0.76114,0.0,-0.17143,-0.89452,-0.38271,-1.95,-1.45608,-6.0263,0.55021,1.45455,2.37571,0.42283,0.29167,0
random_peptide_32,0.0,0.0,0.0,0.16667,0.0,0.32107,0.30643,0.0,0.30643,0.34915,0.0,0.0,0.33739,0.42269,-0.13556,1.8066,-0.36932,-0.03783,0.54898,0.30643,0.0,0.12954,0.15426,0.74508,0.0,2.00783,0.0,0.14102,2.16731,0.93946,0.48611,0.38203,0.9246,2.99535,0.30643,0.0,0.0,0.3038,0.0,1.5,-0.60035,-0.02478,0.45,-0.99696,-1.02187,-0.13627,-0.79545,0.8907,-0.405,-0.08333,0
random_peptide_33,0.0,0.0,0.0,0.14286,0.0,0.1555,0.14841,0.0,0.14841,0.1691,0.0,0.14286,0.16341,0.08186,0.47445,-0.23614,-0.77967,-0.72547,1.00038,0.14841,0.0,1.1333,0.17001,0.0,0.0,-1.42774,0.0,-1.5042,0.20635,0.0,-0.10802,-2.1587,0.31693,0.0,0.14841,0.0,0.0,1.60354,0.0,1.19048,-0.98105,-0.25495,0.45,0.58447,0.12949,0.15646,-1.21212,0.0,0.04557,1.16667,0
random_peptide_34,0.0,0.0,0.0,0.0,0.0,-0.14708,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15455,1.15242,-0.37956,-0.25353,0.23502,3.50695,0.49994,-0.14037,0.0,-0.23814,1.52812,0.0,0.0,0.60799,0.0,0.37605,0.24074,0.0,0.44192,-0.62624,0.14101,0.0,-0.14037,0.0,0.0,-0.83674,1.95476,-0.77922,0.02178,-0.81447,-1.45909,0.54737,-0.48658,-0.29179,0.90909,0.0,-0.03253,0.11667,0
random_peptide_35,0.0,0.0,0.0,0.0,0.0,-0.28697,-0.27388,0.0,-0.27388,-0.31206,0.0,0.0,-0.30155,-1.76887,1.12143,-0.43824,-0.86174,0.40386,0.001,-0.27388,0.0,1.93254,0.41629,0.0,0.0,-0.10071,0.0,-0.09401,1.23353,0.0,0.16204,-0.09084,-0.53164,0.0,-0.27388,0.0,0.0,0.67158,1.03789,-0.35714,-0.02998,-0.10168,-0.05,0.38042,0.35365,0.14034,1.28788,0.0,0.82063,0.37121,0
random_peptide_36,0.0,0.0,0.0,0.0,0.0,-0.42064,-0.40145,0.0,-0.40145,-0.45742,0.0,0.0,-0.44201,-0.06724,-0.94891,0.49187,-1.10795,0.06529,-5.49681,-0.40145,0.0,-0.69969,-1.20291,0.0,0.0,0.74482,0.0,-1.5042,0.00263,0.0,-0.97222,-3.64861,-2.53535,0.0,-0.40145,0.0,0.0,-1.84448,0.0,-0.85714,-0.36023,-0.93272,0.45,0.23915,-0.00374,2.86263,-4.54545,0.0,-1.22442,-0.58333,0
random_peptide_37,0.0,0.0,0.1,0.0,0.0,-0.28697,-0.27388,0.0,-0.27388,-0.31206,0.0,0.0,-0.30155,-2.25713,-0.43132,-0.43892,0.61553,0.63917,0.49994,-0.27388,0.0,0.25593,0.48368,0.0,0.0,0.55095,0.0,-0.72076,-0.27387,0.0,-0.48611,-0.35099,0.32631,0.0,-0.27388,0.0,0.0,0.07775,0.87408,0.10714,0.29166,0.2635,-1.05,-0.23175,0.74831,-0.36357,1.28788,0.0,0.27435,0.68939,0
random_peptide_38,0.0,0.0,0.0,0.0,0.0,0.32107,0.30643,0.0,0.30643,0.34915,0.0,0.0,0.33739,0.98016,-0.13556,-1.33594,-0.36932,0.59936,-1.00038,0.30643,0.0,1.02926,-0.5661,0.0,0.0,-0.21567,0.0,-1.5042,-0.33331,0.0,0.72917,0.7853,0.66114,0.0,0.30643,0.0,0.0,-0.47022,0.0,-1.28571,1.49644,1.16176,-0.3,-0.07871,-0.22727,-0.86177,-0.79545,0.0,2.05326,-0.58333,0
random_peptide_39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93628,0.0,0.0,0.0,-0.72698,0.3163,-0.3338,-0.22159,0.43632,1.05042,0.0,0.0,-0.5979,-0.32956,0.0,0.0,0.53326,0.0,-1.5042,0.48926,0.0,-0.38889,-1.37086,0.12021,0.0,0.0,1.0,0.0,0.55047,0.0,1.5,-0.66305,0.00045,0.45,0.74772,0.02399,0.18932,-0.54545,0.0,0.25474,0.97222,0
random_peptide_40,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,0.49708,0.47445,-0.82246,-0.51705,0.22022,-1.00038,0.86501,0.0,0.11417,-1.04557,0.0,0.0,-0.05549,0.0,-0.37605,-0.10107,0.0,-0.97222,3.62707,-1.44518,0.0,0.86501,0.0,0.0,-1.36749,0.0,0.94286,1.2502,1.40561,0.45,0.74772,-0.00381,0.65991,-2.54545,0.0,-1.22442,-0.58333,0
random_peptide_41,0.0,0.0,0.0,0.0,0.0,-0.54884,-0.52381,0.0,-0.52381,-0.59683,0.0,0.0,-0.57673,-0.04901,0.80292,-0.25007,-0.05276,0.60221,-0.03353,-0.52381,0.0,0.11521,-0.32286,0.69039,0.0,-0.38113,0.0,0.24175,0.73329,1.08296,-0.69444,0.99118,0.13572,0.0,-0.52381,0.0,0.1,0.22336,0.0,-0.09184,0.37042,0.74331,0.02143,-0.66901,1.11998,-0.13398,-0.25974,0.53015,1.23684,0.22436,0
random_peptide_42,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08489,2.21411,-0.67767,0.96023,-0.09751,0.46641,0.0,0.0,1.81521,-0.43114,0.0,0.0,-0.62721,0.0,-1.5042,0.49955,0.0,0.97222,-0.14618,1.24344,2.13953,0.0,0.0,0.0,0.87217,0.0,0.38571,0.03963,0.80165,-0.15,1.48232,0.75691,-0.36491,-0.54545,0.0,1.39773,0.58333,0
random_peptide_43,0.09091,0.0,0.0,0.0,0.0,-0.42064,-0.40145,0.0,-0.40145,-0.45742,0.0,0.0,-0.44201,0.0554,0.0,0.19311,1.16477,-0.05863,0.09809,-0.40145,0.0,0.10858,-0.3727,0.0,0.0,0.58227,0.0,-0.20249,0.10702,0.966,0.82265,0.79211,0.5098,1.49767,-0.40145,0.0,0.11111,-0.6712,0.0,0.42857,0.66117,0.36767,-0.47308,-0.32593,0.12322,-0.29355,0.06993,0.84377,-0.2159,-0.58333,0
random_peptide_44,0.0,0.0,0.0,0.0,0.0,0.69239,0.66081,0.0,0.66081,0.75293,0.0,0.0,0.72757,-0.35953,0.18978,0.81468,-0.12311,1.06531,-0.50094,0.66081,0.0,-0.0786,-0.11632,0.75202,0.0,0.20215,0.0,-1.5042,-0.62694,0.0,-0.97222,0.34462,1.11736,0.0,0.66081,0.0,0.0,0.04747,0.0,1.5,0.70238,2.44463,0.45,-0.84392,-0.2353,-1.50688,-1.21212,0.0,-0.13186,-0.58333,0
random_peptide_45,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,-1.06237,-0.94891,-0.26569,-1.10795,0.7774,-1.00038,0.86501,0.0,-0.05533,1.3392,0.0,0.0,-0.40661,0.0,0.37605,-0.23434,0.0,0.58333,-1.45196,-1.3322,0.0,0.86501,0.0,0.0,-0.43286,0.91916,-1.28571,0.86027,0.68062,-0.75,0.01312,-0.71194,0.66426,-2.54545,0.0,-1.22442,-0.58333,0
random_peptide_46,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,0.03665,0.47445,0.6663,0.07386,0.36916,-0.53397,0.86501,0.0,1.31919,-0.8207,0.0,0.0,-0.17805,0.0,-1.5042,-0.02984,0.0,0.19444,-1.07734,0.23172,0.0,0.86501,0.0,0.0,0.41173,0.0,-0.17143,0.46949,0.52784,-0.15,1.48232,1.56355,-0.67551,-0.54545,0.0,0.42283,-0.58333,0
random_peptide_47,0.0,0.0,0.0,0.0,0.0,0.90635,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9524,0.50108,-0.94891,0.28922,1.84659,-0.30475,-1.00038,0.86501,0.0,-0.04189,1.06436,0.0,0.0,0.15593,0.0,0.0,0.08287,0.0,0.58333,-1.22347,-1.96639,0.0,0.86501,0.0,0.0,-0.76353,0.97183,-1.28571,1.50107,0.54805,-0.75,0.01312,-2.00948,0.61667,1.45455,0.0,0.08666,-0.58333,0
random_peptide_48,0.0,0.0,0.0,0.0,0.0,-0.42064,-0.40145,0.0,-0.40145,-0.45742,0.0,0.0,-0.44201,0.31827,0.0,-0.10879,-0.88068,-0.47396,0.49994,77.02812,0.0,0.55205,-0.24652,0.0,0.0,-0.62895,0.0,0.23141,0.10408,0.0,-0.67308,-0.25997,-0.17098,0.0,-0.40145,0.0,0.0,0.23712,0.0,0.0,-0.20898,-0.03336,-0.47308,0.52169,-1.13127,-0.05813,0.83916,0.0,-0.2159,0.58333,0
random_peptide_49,0.0,0.0,0.0,0.0,0.0,-0.54884,-0.52381,0.0,-0.52381,-0.59683,0.0,0.0,-0.57673,-0.10975,-0.07299,0.46779,-0.89692,-0.44654,-1.06894,-0.52381,0.0,0.6207,-0.32331,0.0,0.0,0.36311,0.0,0.37605,0.0385,0.0,-0.97222,-0.30084,0.60382,0.0,-0.52381,0.0,0.0,-0.33421,0.0,-0.09184,0.79788,0.54913,0.45,0.11806,0.28303,0.01498,-0.25974,0.0,-0.87624,-0.58333,0
