,GTPC_uncharger.postivecharger.alphaticr,CKSAAP_GP.gap2,GTPC_alphaticr.postivecharger.alphaticr,CKSAAGP_postivecharger.postivecharger.gap1,CKSAAP_PK.gap3,DDE_PG,DDE_TW,CKSAAP_TK.gap1,DDE_MQ,DDE_RA,CTriad_g1.g2.g3,ABHPRK__33,DDE_RP,NMBroto_CHAM810101.lag2,CTDT_hydrophobicity_PRAM900101.Tr1331,MSW__6,CTDD_hydrophobicity_CASG920101.2.residue50,Z3__17,Calculate_charge,DDE_RQ,DPC_GF,Kytedoolittle,Z3__16,PAAC_Xc1.W,CKSAAP_DP.gap1,NMBroto_CHAM820102.lag1,ABHPRK__55,CTDD_hydrophobicity_FASG890101.2.residue100,Z3__24,APAAC_Pc1.P,CTDD_hydrophobicity_PONP930101.2.residue75,Z5__19,MSW__1,CKSAAGP_uncharger.postivecharger.gap2,DDE_NT,CTriad_g4.g5.g1,ABHPRK__75,PAAC_Xc2.lambda1,APAAC_Pc1.G,CTDC_normwaalsvolume.G3,Z3__11,Ez__22,CTDD_hydrophobicity_PRAM900101.1.residue100,CTDD_hydrophobicity_ARGP820101.1.residue50,Z3__30,Ez__6,CTDD_charge.2.residue50,QSO3_SC_P,Aliphatic_Index,CTDT_charge.Tr1221,y
random_peptide_11,0.0,0.0,0.0,0.0,0.0,-0.31206,-0.27388,0.0,-0.27388,-0.31206,1.0,0.0,-0.31206,-1.69237,-0.67829,-0.18403,0.47619,0.78882,-0.0005,-0.31206,0.0,-0.1054,0.84729,0.0,0.0,-0.35238,0.0,0.24014,0.31878,0.97043,-0.08974,-0.76697,0.0824,0.0,-0.27388,0.0,0.0,-0.49412,1.0235,-0.33654,-0.01408,0.36918,-2.375,-0.66,0.10713,-0.61869,0.45455,1.18219,-0.5322,-0.5641,0
random_peptide_12,0.0,0.0,0.0,0.0,0.0,0.9856,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9856,0.91808,1.35659,-0.49373,0.14286,0.09521,-0.499,0.9856,0.0,2.55104,-0.59655,0.0,0.0,-1.06492,0.0,-1.64667,-1.31081,0.0,0.61026,3.80812,-1.11447,0.0,0.86501,0.0,0.0,0.93431,-0.84868,-0.16154,0.64541,1.87551,0.375,-0.88,-0.20674,0.42104,-0.54545,0.0,1.18971,0.35256,0
random_peptide_13,0.0,0.0,0.0,0.0,0.0,0.75293,0.66081,0.0,0.66081,0.75293,0.0,0.0,0.75293,-0.34238,0.13566,1.78187,-1.19048,-0.55594,0.5,0.75293,0.0,0.41955,0.79538,0.0,0.0,-0.42785,0.0,0.41167,-0.56911,0.0,0.29915,0.50317,-1.01236,5.66667,0.66081,0.0,0.0,0.98743,0.0921,0.53846,-1.38878,-0.65063,-0.625,-0.29333,-0.21253,0.13103,-1.21212,0.0,-1.14272,0.90256,0
random_peptide_14,0.0,0.0,0.0,0.0,0.0,0.34915,0.30643,0.0,0.30643,0.34915,0.0,0.0,0.34915,-1.29956,-0.67829,-1.0731,-0.35714,2.75411,0.0,0.34915,0.0,-0.13879,0.63726,0.0,0.0,0.04348,0.0,-0.6175,-0.07219,0.0,-0.08974,1.24716,1.56618,0.0,0.30643,0.0,0.0,-0.94963,-0.01429,-0.55529,1.17811,1.36074,-2.625,0.44,-0.08393,-2.18566,0.45455,0.0,2.12791,-0.5641,0
random_peptide_15,0.08333,0.09091,0.0,0.16667,0.0,-0.59683,-0.52381,0.0,-0.52381,-0.59683,0.0,0.16667,-0.59683,0.1455,0.26088,0.42229,-0.2381,-0.99435,1.966,-0.59683,0.0,0.27605,0.05118,0.0,0.0,-2.2883,0.1,-0.0294,0.48926,0.87274,0.07692,-0.62095,-0.33691,1.54545,-0.52381,0.0,0.0,0.41334,-0.00682,1.41346,-1.53696,-1.31759,0.16071,0.12571,-0.34957,1.65452,1.16883,0.66334,-0.83301,1.12821,0
random_peptide_16,0.0,0.0,0.0,0.5,0.0,0.75293,0.66081,0.0,0.66081,0.75293,0.0,0.5,69.09112,-0.36861,-0.67829,1.13344,-0.07937,2.43445,1.9995,0.75293,0.0,-0.25036,0.16186,0.0,0.0,0.78013,0.0,-0.27444,-3.09557,0.71477,0.68803,0.53587,-1.0254,0.0,0.66081,0.0,0.0,1.86473,-0.84868,3.16346,-3.66256,-1.12314,0.375,-1.76,5.33477,1.67605,-1.21212,1.08501,-1.14272,2.36923,0
random_peptide_17,0.0,0.0,0.0,0.0,0.0,-0.45742,-0.40145,0.0,464.17597,-0.45742,0.0,0.0,-0.45742,0.00128,1.35659,0.0221,-0.93407,-0.31472,0.0,-0.45742,0.0,0.49154,-0.6693,0.0,0.0,-0.13657,0.0,-0.06333,0.13006,0.0,-1.25641,0.23785,0.18075,0.0,-0.40145,0.0,0.0,-0.12349,-0.84868,0.0,0.0513,-0.13291,0.14423,-0.06769,0.29732,0.08633,0.06993,0.0,0.20291,0.04701,0
random_peptide_18,0.0,0.0,0.0,0.0,0.0,0.54258,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.54258,0.98426,1.35659,1.13698,1.19048,-0.59383,-1.033,0.54258,0.0,-0.1775,0.16956,1.41886,0.0,1.26687,0.0,-1.64667,0.75727,0.0,-1.25641,1.38084,1.0444,0.0,0.47619,0.0,0.0,0.49371,-0.84868,1.03846,0.6061,1.24617,-0.05357,-1.13143,-0.75156,-0.25338,-0.25974,0.0,-0.30971,-0.5641,0
random_peptide_19,0.0,0.0,0.0,0.0,0.0,-0.31206,-0.27388,0.0,-0.27388,-0.31206,0.0,0.0,-0.31206,-0.47187,-0.67829,-0.32847,0.75397,2.01867,-0.034,-0.31206,0.0,-0.37911,0.93185,0.0,0.0,-1.43703,0.0,0.41167,0.28828,0.91751,-0.08974,-0.5904,0.89979,0.0,-0.27388,0.0,0.125,-0.76771,0.92141,-0.33654,0.45806,-0.21387,-2.625,-1.02667,-0.35125,-0.77801,0.45455,1.18421,0.07832,-0.5641,0
random_peptide_20,0.0,0.0,0.0,0.28571,0.0,0.1691,0.14841,0.0,0.14841,0.1691,0.0,0.28571,0.1691,0.1958,1.35659,-0.94107,-0.44974,-0.1547,2.4995,0.1691,0.0,2.46961,0.00801,0.0,0.0,1.06243,0.0,-1.64667,-0.1446,0.0,0.29915,0.04454,0.21732,0.0,0.14841,0.0,0.0,1.00204,-0.84868,1.70513,-1.84676,-0.92638,0.04167,-1.76,5.47734,0.35153,-2.32323,0.0,1.28274,1.26923,0
random_peptide_21,0.0,0.0,0.22222,0.11111,0.0,-0.15994,-0.14037,0.0,-0.14037,-0.15994,0.0,0.11111,-0.15994,0.0157,1.76357,-0.97582,0.02165,-1.41276,1.5,-0.15994,0.0,0.26502,0.0,0.0,0.0,0.29848,0.0,-1.64667,-0.90127,0.0,-0.62005,0.75899,0.61857,0.0,-0.14037,0.0,0.0,2.30702,-0.84868,0.69755,-0.69222,-0.74006,0.10227,1.04,-0.28169,0.27233,0.90909,0.0,0.70583,1.6359,0
random_peptide_22,0.0,0.0,0.14286,0.0,0.0,0.1691,0.14841,0.0,0.14841,0.1691,0.0,0.0,0.1691,-0.1938,0.84787,-0.32838,-0.44974,0.24163,0.9995,0.1691,0.0,-0.38115,-0.14422,0.0,0.0,-0.85785,0.0,-1.64667,1.00706,0.0,0.81766,-0.29855,0.81831,2.83333,0.14841,0.0,0.0,0.89731,-0.84868,1.12179,-0.57062,-0.72308,0.04167,-1.27111,2.75824,0.45041,-0.10101,0.0,-0.01305,1.26923,0
random_peptide_23,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20478,-0.67829,0.54303,0.14286,-0.16799,0.05,101.87256,0.0,0.34384,-0.37982,0.0,0.0,0.76411,0.0,-1.64667,-0.15255,0.0,0.37692,-0.08097,0.22734,0.0,0.0,0.0,0.0,0.36366,-0.84868,-0.16154,-0.45535,-1.46606,0.375,-0.44,-0.06014,0.21414,-0.54545,0.0,-0.54466,0.25071,0
random_peptide_24,0.0,0.0,0.0,0.0,0.0,-0.59683,-0.52381,0.0,-0.52381,-0.59683,0.0,0.0,-0.59683,0.20231,-0.05218,1.17485,0.2381,-0.3773,0.465,-0.59683,0.0,-0.30436,-0.12684,0.7885,0.0,1.48405,0.0,-1.64667,0.22244,0.0,1.07692,0.32596,2.05161,1.54545,-0.52381,0.0,0.0,0.17548,-0.84868,1.78846,-0.12599,1.21278,-0.48214,-0.50286,-0.56657,-1.64502,-0.25974,0.0,0.1068,0.0,0
random_peptide_25,0.0,0.0,0.0,0.0,0.0,0.54258,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.54258,1.42989,0.67829,-0.40714,0.71429,0.46131,0.5,0.54258,0.0,-1.03079,-0.29954,0.0,0.0,-0.31902,0.0,-1.05857,0.11149,0.0,-0.92308,-2.07463,-0.94674,0.0,0.47619,0.0,0.0,0.71423,-0.84868,0.28846,0.00681,1.29586,0.375,-0.50286,-3.67112,0.33086,1.16883,0.0,0.5233,0.65812,0
random_peptide_26,0.0,0.0,0.18182,0.0,0.0,-0.45742,-0.40145,0.0,-0.40145,-0.45742,0.0,0.0,-0.45742,-2.23165,-0.33915,0.8276,-0.42125,-1.26223,0.549,-0.45742,0.0,-0.24076,1.43166,0.0,0.0,0.1317,0.0,0.095,0.03934,1.00388,0.0,-0.49534,-0.2386,1.7,-0.40145,0.0,0.0,0.75139,2.0564,0.0,-0.19499,-0.10453,0.375,0.60923,-0.06696,-0.44665,0.06993,0.75038,-0.01561,0.04701,0
random_peptide_27,0.0,0.0,0.0,0.0,0.0,0.1691,0.14841,0.0,0.14841,0.1691,0.0,0.0,0.1691,0.40357,0.84787,1.00221,-0.44974,0.26039,-1.4985,0.1691,0.0,0.23253,-0.80708,0.0,0.0,0.01416,0.0,-0.96056,0.03876,1.01096,-1.25641,0.59844,-0.91101,0.0,0.14841,0.0,0.0,0.31854,-0.84868,-0.04487,0.02435,1.1645,0.04167,0.19556,-0.72874,0.18378,-1.21212,0.95099,-0.49482,-0.5641,0
random_peptide_28,0.0,0.0,0.0,0.0,0.0,0.1691,0.14841,0.0,0.14841,0.1691,0.0,0.0,0.1691,-0.91553,-0.16957,0.52007,-0.44974,0.65973,0.0005,0.1691,0.0,0.42284,1.00015,0.70713,0.0,0.69595,0.0,0.41167,2.12167,0.0,0.03989,0.27379,-0.29753,0.0,0.14841,0.0,0.0,0.36719,0.07473,-0.04487,-0.33187,-0.33071,0.375,0.68444,-0.03147,0.2311,-1.21212,0.0,-0.66095,0.35256,0
random_peptide_29,0.33333,0.0,0.0,0.0,0.0,0.9856,0.86501,0.0,0.86501,77.39002,0.0,0.0,0.9856,-1.04013,-0.67829,-0.78783,-0.52381,-0.3565,0.5,0.9856,0.0,1.88805,-0.4576,0.0,0.0,2.16511,0.0,-0.41167,1.1535,1.16019,0.61026,-1.81001,-0.19257,0.0,0.86501,0.0,0.0,1.0167,-0.84868,-0.16154,-0.51527,0.40528,-0.225,-1.76,-0.12984,-0.54255,-0.54545,1.2263,1.48874,1.26923,0
random_peptide_30,0.0,0.0,0.0,0.09091,0.0,-0.45742,-0.40145,0.0,-0.40145,43.6547,0.0,0.09091,-0.45742,-0.15849,-0.33915,-0.19332,-0.67766,-0.27014,1.0015,-0.45742,0.0,-0.38659,-0.08797,0.0,0.0,1.02493,0.0,-0.22167,0.15105,0.86443,0.71795,0.04548,-0.89512,3.4,-0.40145,0.0,0.0,0.70098,-0.84868,0.40385,-1.53379,-1.03321,0.375,-0.06769,-0.46909,1.02576,0.06993,0.69562,-0.57916,0.65812,0
random_peptide_31,0.0,0.0,0.0,0.0,0.0,0.54258,0.47619,0.0,0.47619,0.54258,0.5,0.0,0.54258,-0.62121,-0.67829,-2.19429,-0.2381,1.45115,0.0,0.54258,0.0,-0.16096,-0.24082,0.0,0.0,0.37815,0.0,-1.64667,-0.27154,0.0,0.07692,0.95356,2.08799,0.0,0.47619,0.0,0.0,-1.21475,-0.84868,-0.46154,1.01594,0.36414,-2.625,1.38286,0.05651,-1.4925,-0.25974,0.0,1.14272,-0.5641,0
random_peptide_32,0.0,0.0,0.0,0.0,0.0,-0.15994,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15994,-0.16293,0.13566,-0.04964,0.02165,-0.48119,0.0,-0.15994,0.0,1.60267,-0.27559,0.0,0.0,-0.18185,0.0,0.22455,0.63546,1.02386,-0.83217,0.55688,0.10066,0.0,-0.14037,0.0,0.14286,0.04473,-0.84868,-0.25699,0.05235,-0.62996,0.375,0.64,0.3335,0.34507,0.0,0.91296,0.17573,0.16923,0
random_peptide_33,0.0,0.0,0.0,0.0,0.0,0.54258,0.47619,0.0,0.47619,0.54258,1.0,0.0,0.54258,0.63127,-0.67829,-1.31014,0.2381,1.59984,0.0,0.54258,0.0,0.1107,-0.16515,0.0,0.0,-0.28091,0.0,-1.64667,0.19496,0.0,-0.58974,0.60402,2.36811,0.0,0.47619,0.0,0.0,-0.86417,-0.84868,-0.46154,1.03247,0.082,-2.625,2.01143,0.1181,-2.06982,-0.25974,0.0,1.97573,-0.5641,0
random_peptide_34,0.33333,0.0,0.0,0.0,0.0,0.9856,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9856,-0.68571,0.33915,-0.74962,0.80952,0.89207,0.5,0.9856,0.0,1.7826,-0.44879,0.0,0.0,-0.13201,0.0,-1.64667,0.0172,0.0,-1.25641,-1.06945,0.76944,0.0,0.86501,0.0,0.0,-0.25404,-0.84868,-0.16154,-0.33736,-0.56259,-1.425,-0.88,-0.69071,-0.07129,1.45455,0.0,0.89068,1.26923,0
random_peptide_35,0.0,0.0,0.0,0.0,0.0,0.34915,0.30643,0.0,0.30643,0.34915,0.0,0.0,0.34915,1.78676,-0.67829,-0.59517,-0.77381,0.05864,0.0,0.34915,0.0,1.02776,0.81036,0.0,0.0,1.09833,0.0,0.41167,-0.04317,0.0,0.20192,-0.19632,-0.19012,0.0,152.37508,0.0,0.0,-1.37785,0.11819,-1.21154,0.47586,-0.18329,0.0,0.44,-0.19868,-0.31531,0.45455,0.0,-0.41383,-0.5641,0
random_peptide_36,0.0,0.0,0.0,0.25,0.0,0.75293,0.66081,0.0,0.66081,0.75293,0.0,0.0,0.75293,-0.16539,-0.67829,2.73774,-0.07937,-0.46347,0.049,0.75293,0.0,-0.0578,0.89967,0.0,0.0,-3.246,0.0,0.41167,-0.87114,0.0,-0.47863,-1.44143,0.23265,0.0,0.66081,0.0,0.0,0.31175,0.22372,2.28846,0.01504,-0.54251,-0.625,0.44,0.12677,0.06207,-1.21212,0.0,-1.14272,0.16923,0
random_peptide_37,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-2.11383,0.67829,-0.20473,-0.19048,-1.57684,0.5,0.0,0.11111,0.18249,0.48944,0.0,0.0,-0.14686,0.0,-0.82333,2.65835,1.05587,0.37692,0.60849,-0.20687,0.0,0.0,0.0,0.0,1.73555,0.16983,0.36346,-0.19455,0.90484,0.075,-0.88,0.16089,-0.33663,-0.54545,0.76272,0.45709,1.06553,0
random_peptide_38,0.0,0.0,0.0,0.0,0.0,-0.15994,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15994,0.55293,-0.27132,0.10543,0.02165,-0.03794,-0.9985,-0.15994,0.0,0.32501,-0.63715,0.0,0.0,-1.10514,0.0,0.41167,-0.20399,0.95827,-0.1958,0.09567,-0.07398,0.0,-0.14037,0.0,0.0,-0.05888,-0.84868,-0.73427,-0.07474,-0.43615,0.10227,-0.96,0.09044,-0.31156,0.0,0.93443,0.32524,-0.5641,0
random_peptide_39,0.0,0.0,0.1,0.0,0.0,-0.31206,-0.27388,0.0,-0.27388,-0.31206,0.0,0.0,-0.31206,-2.54389,-0.30832,-0.23978,0.75397,-0.46359,0.549,-0.31206,0.0,-0.09953,0.10727,0.0,0.0,0.19252,0.0,-0.6175,0.22098,0.99106,0.49359,-1.34273,0.58074,0.0,-0.27388,0.0,0.0,-0.43727,0.10731,0.97596,0.02393,0.23388,-2.125,-0.66,0.32946,-0.66148,0.45455,0.88744,-0.04628,0.10256,0
random_peptide_40,0.0,0.0,0.0,0.08333,0.0,-0.59683,-0.52381,0.0,-0.52381,-0.59683,0.0,0.08333,-0.59683,-0.01313,-0.05218,-0.03011,-0.71429,-0.55774,0.5005,-0.59683,0.0,0.63098,0.53538,0.0,0.0,-0.383,0.0,0.26464,0.40618,0.0,-0.58974,0.04766,-0.8843,0.0,-0.52381,0.0,0.0,0.42876,0.92788,0.66346,-0.63851,-0.25086,0.375,1.06857,0.26882,0.32821,1.16883,0.0,-0.51262,0.28205,0
random_peptide_41,0.0,0.0,0.0,0.0,0.0,0.9856,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9856,-4.17175,1.35659,0.64849,0.80952,-0.61343,-0.9985,0.9856,0.0,1.22783,0.62017,0.0,0.0,0.34317,0.0,0.41167,-0.13551,0.0,1.07692,-1.53626,-1.63281,0.0,0.86501,0.0,0.0,0.09554,0.09031,-1.21154,0.14078,-0.22911,-0.225,0.0,-0.06273,0.87295,1.45455,0.0,0.0235,-0.5641,0
random_peptide_42,0.0,0.0,0.0,0.0,0.0,0.9856,0.86501,0.0,0.86501,0.9856,0.0,0.0,0.9856,0.35373,-0.67829,1.26469,0.14286,-1.00022,-0.5,0.9856,0.0,1.347,0.37909,0.75833,0.0,0.92841,0.0,-1.64667,0.01331,0.0,-1.25641,2.92309,2.20385,0.0,0.86501,0.0,0.0,0.02489,-0.84868,0.88846,0.2926,0.0053,0.375,2.64,-0.10118,-1.22957,-0.54545,0.0,0.89068,-0.5641,0
random_peptide_43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42382,0.2261,-0.21833,0.47619,0.92927,-0.9985,0.0,0.0,1.26343,0.33833,0.0,0.0,-0.38096,0.0,0.20583,0.38281,0.0,-0.08974,-0.4012,-0.04214,0.0,0.0,0.0,0.0,-0.11186,0.1502,-1.21154,0.54893,-0.51726,0.075,-0.44,0.16329,-0.0269,0.45455,0.0,0.6066,-0.5641,0
random_peptide_44,0.0,0.0,0.11111,0.0,0.0,-0.15994,-0.14037,0.0,-0.14037,-0.15994,0.0,0.0,-0.15994,0.6172,0.13566,-0.3688,0.02165,-0.01858,0.5015,-0.15994,0.0,0.48419,0.65008,0.0,0.0,-0.51981,0.0,-0.71106,-0.05657,0.0,0.01632,0.31187,-0.27351,0.0,-0.14037,0.0,0.0,1.04265,0.19921,0.22028,-0.93037,-1.12189,0.10227,-0.96,1.47077,0.26496,0.0,0.0,0.44757,0.5359,0
random_peptide_45,0.0,0.0,0.0,0.0,0.0,0.75293,0.66081,0.0,0.66081,0.75293,0.0,0.0,0.75293,-0.67523,0.13566,-0.13913,0.47619,-0.38611,0.0,0.75293,0.0,1.30172,-0.62693,0.0,0.0,-0.0902,0.0,0.06861,0.81973,0.90619,-1.25641,-0.0919,0.65382,0.0,0.66081,0.0,0.0,-1.05198,-0.84868,-0.33654,0.31803,1.80117,-2.125,-1.02667,-1.60106,-1.2393,0.45455,1.518,1.52362,-0.5641,0
random_peptide_46,0.0,0.0,0.0,0.0,0.0,0.9856,0.86501,0.0,0.86501,0.9856,0.0,0.0,77.39002,-0.27486,-0.67829,-0.13307,-1.19048,0.70177,0.5005,0.9856,0.0,-0.03618,-0.21723,0.0,0.0,2.61296,0.0,0.0,-1.32408,0.72385,-0.32308,-2.0631,-1.44733,0.0,0.86501,0.0,0.0,0.8006,-0.84868,0.88846,-2.31812,-1.35721,0.375,-0.88,-0.08161,1.8732,-2.54545,1.19858,-1.14272,1.26923,0
random_peptide_47,0.0,0.0,0.0,0.0,0.0,0.54258,0.47619,0.0,0.47619,0.54258,0.0,0.0,0.54258,-3.08025,-0.67829,-0.08576,-0.71429,-0.59713,0.0,0.54258,0.0,-0.68565,1.8499,0.0,0.0,1.84312,0.0,0.41167,-0.34256,0.99081,-0.25641,0.07367,-0.75105,0.0,0.47619,0.0,0.0,-0.87067,1.06281,-1.21154,0.59026,-0.21132,-0.48214,0.12571,-0.12285,0.24645,-0.25974,1.41626,-0.5233,-0.5641,0
random_peptide_48,0.25,0.0,0.0,0.0,0.0,0.75293,0.66081,0.0,0.66081,0.75293,0.0,0.0,0.75293,0.07375,1.76357,-0.14497,-0.63492,0.11497,0.0,0.75293,0.0,1.3786,-0.80499,0.0,0.0,-0.28389,0.0,-1.64667,1.59239,0.0,-0.86752,-1.86681,-0.54935,0.0,0.66081,0.0,0.0,0.12443,-0.84868,0.53846,0.14867,0.08738,0.375,0.44,-1.21507,0.25308,-1.21212,0.0,0.07832,0.90256,0
random_peptide_49,0.0,0.0,0.0,0.0,0.0,0.1691,0.14841,0.0,0.14841,0.1691,0.0,0.0,0.1691,-1.20464,0.84787,-0.53046,-0.82011,-1.16363,0.5,0.1691,0.0,1.40643,0.34868,0.0,0.0,-0.01609,0.0,0.41167,0.86336,0.0,-0.21937,-0.54542,-0.54291,0.0,0.14841,0.0,0.0,0.5761,0.22509,-0.04487,0.52953,1.21096,0.375,1.66222,-1.50739,-0.2747,1.0101,0.0,1.44887,0.35256,0
